dtype,tasks,tile_tokens,dim,num_transforms,samples,patterns,seeds,lds_fits,policy,best_variant,global_ms,lds_ms,chunk2_ms,chunk4_ms,chunk8_ms,auto_ms,auto_speedup_vs_global,best_speedup_vs_global,auto_vs_best,max_abs_diff_auto
bf16,32,128,128,16,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_lds_chunked(chunk=2),global,0.034076400101184845,0.08669705092906951,0.04486050009727478,0.03627240061759949,0.053034701943397516,0.04478050023317337,0.7609651505398116,1.0,0.7609651505398116,0.0
bf16,32,128,128,32,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_lds_chunked(chunk=4),global,0.05513260066509247,0.16248779892921447,0.0806428998708725,0.06530469954013825,0.05677470266819,0.06546469926834106,0.8421729769062695,1.0,0.8421729769062695,0.0
bf16,32,256,64,16,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_lds_chunked(chunk=2),global,0.0337224006652832,0.0868529498577118,0.04407650083303452,0.03603444993495941,0.05296460092067719,0.04390649944543838,0.7680503135347712,1.0,0.7680503135347712,0.0
bf16,32,256,64,32,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_lds_chunked(chunk=4),global,0.05404659807682037,0.163349848985672,0.0793868988752365,0.06480270028114318,0.05629864931106568,0.06446475088596344,0.8383899314592478,1.0,0.8383899314592478,0.0
bf16,128,128,128,8,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_lds_chunked(chunk=4),global,0.055112650990486144,0.05673064887523651,0.07943090200424194,0.06465069949626923,0.05660869777202606,0.0647047519683838,0.8517558496695178,1.0,0.8517558496695178,0.0
bf16,128,128,128,16,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_lds_chunked(chunk=4),global,0.09839114844799042,0.10050909519195557,0.1515457034111023,0.12236539721488954,0.10783524513244629,0.12158939838409424,0.80920828423855,1.0,0.80920828423855,0.0
bf16,128,128,128,32,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_lds_chunked(chunk=8),global,0.18149809837341307,0.186770099401474,0.2791372060775757,0.2285446047782898,0.20125229358673097,0.20546034574508665,0.8833728849974614,1.0,0.8833728849974614,0.0
bf16,128,256,64,8,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_lds_chunked(chunk=4),global,0.054626598954200745,0.05601859986782074,0.07864489853382112,0.06408475041389465,0.05598060190677642,0.06392669975757598,0.8545193035360303,1.0,0.8545193035360303,0.0
bf16,128,256,64,16,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_lds_chunked(chunk=4),global,0.09746710062026978,0.09958314895629883,0.14823570251464843,0.1203514039516449,0.10656719803810119,0.12013540267944336,0.8113103918279669,1.0,0.8113103918279669,0.0
bf16,128,256,64,32,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_lds_chunked(chunk=8),global,0.18001005053520203,0.18550209999084472,0.274449098110199,0.22585659027099608,0.19877030253410338,0.2039902925491333,0.8824442000927305,1.0,0.8824442000927305,0.0
bf16,256,128,128,8,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_lds_chunked(chunk=8),global,0.09855115115642549,0.1074472486972809,0.15081374645233153,0.12161340117454528,0.10723119974136353,0.10696119666099549,0.921372929930609,1.0,0.921372929930609,0.0
bf16,256,128,128,16,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_lds_chunked(chunk=8),global,0.18312810063362123,0.1920062005519867,0.2794931888580322,0.22822459936141967,0.19997829794883726,0.20514839887619019,0.8926616129436209,1.0,0.8926616129436209,0.0
bf16,256,128,128,32,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_lds_chunked(chunk=8),lds,0.35398800373077394,0.35320209264755253,0.5314401626586913,0.42639889717102053,0.38329440355300903,0.3998286008834839,0.8853493795806053,1.0022251031338187,0.8833837596087354,0.0
bf16,256,256,64,8,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_lds_chunked(chunk=8),global,0.09790309965610504,0.10686724781990051,0.14853770136833191,0.12027339935302735,0.10649725198745727,0.1064033031463623,0.9201133495022719,1.0,0.9201133495022719,0.0
bf16,256,256,64,16,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_lds_chunked(chunk=8),global,0.18170209527015685,0.19060620069503784,0.2743611574172974,0.22535660266876223,0.19835230112075808,0.20410234928131105,0.8902498962406342,1.0,0.8902498962406342,0.0
bf16,256,256,64,32,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_lds_chunked(chunk=8),global,0.35204799175262447,0.35222204923629763,0.5242680549621581,0.4222309112548828,0.3805763959884644,0.4000566482543945,0.8799953538798797,1.0,0.8799953538798797,0.0
fp16,128,128,128,8,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_lds_chunked(chunk=4),global,0.07255679965019227,0.08895494937896728,0.11166319847106934,0.09891510009765625,0.08874100148677827,0.09870509803295135,0.7350866479659457,1.0,0.7350866479659457,0.0
fp16,128,128,128,16,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_lds_chunked(chunk=4),global,0.13096140027046205,0.16732590198516845,0.20707629919052123,0.18083800077438356,0.17181789875030518,0.18218399882316588,0.7188413972490402,1.0,0.7188413972490402,0.0
fp16,128,128,128,32,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_lds_chunked(chunk=8),global,0.24713280200958254,0.31327550411224364,0.3823223114013672,0.34109973907470703,0.3178436040878296,0.33415375947952275,0.7395780984015147,1.0,0.7395780984015147,0.0
fp16,128,256,64,8,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_lds_chunked(chunk=4),global,0.07229879796504975,0.08828094899654387,0.11017720103263855,0.09805110096931458,0.08812894821166992,0.09790910184383392,0.7384277518995845,1.0,0.7384277518995845,0.0
fp16,128,256,64,16,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_lds_chunked(chunk=4),global,0.12992144823074342,0.16535984873771667,0.20350430011749268,0.1790180027484894,0.17067390084266665,0.1800800025463104,0.7214651621149999,1.0,0.7214651621149999,0.0
fp16,128,256,64,32,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_lds_chunked(chunk=8),global,0.24601675271987916,0.31315948963165285,0.37723819017410276,0.33861374855041504,0.3164734959602356,0.3300036907196045,0.7454969736351014,1.0,0.7454969736351014,0.0
fp16,256,64,32,16,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_lds_chunked(chunk=8),chunk4,0.04354244917631149,0.041316449642181396,0.03946840018033981,0.03630639910697937,0.03803440034389496,0.03830440044403076,1.1367479629379504,1.1993050880097083,0.9478388562700307,0.0
fp16,256,128,128,8,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_lds_chunked(chunk=4),global,0.13083750009536743,0.17279594540596008,0.20642430782318116,0.18023399710655214,0.17118189930915834,0.18185200095176696,0.7194724248872564,1.0,0.7194724248872564,0.0
fp16,256,128,128,16,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_lds_chunked(chunk=8),global,0.24797075986862183,0.31748549938201903,0.3828363060951233,0.3408698081970215,0.31760960817337036,0.3330897092819214,0.7444563820455458,1.0,0.7444563820455458,0.0
fp16,256,128,128,32,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_lds_chunked(chunk=8),global,0.49871759414672856,0.6182968854904175,0.7461323499679566,0.6467592000961304,0.619054913520813,0.6303650379180908,0.7911568125571259,1.0,0.7911568125571259,0.0
fp16,256,256,64,8,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_lds_chunked(chunk=4),global,0.1308714985847473,0.17262194752693177,0.20424629449844361,0.1791559994220734,0.170599901676178,0.18086800575256345,0.7235746202884888,1.0,0.7235746202884888,0.0
fp16,256,256,64,16,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_lds_chunked(chunk=8),global,0.24667079448699952,0.3169236063957214,0.3792603015899658,0.33802379369735713,0.3162055492401123,0.32946574687957764,0.7486993619921274,1.0,0.7486993619921274,0.0
fp16,256,256,64,32,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_lds_chunked(chunk=8),global,0.4976555824279785,0.6174469709396362,0.7375763416290284,0.6430891990661621,0.6167909860610963,0.6292510986328126,0.7908696282124028,1.0,0.7908696282124028,0.0
