dtype,tasks,num_transforms,policy,best_variant,global_ms,lds_ms,chunk2_ms,chunk4_ms,chunk8_ms,auto_ms,auto_speedup_vs_global,best_speedup_vs_global,auto_vs_best,max_abs_diff_auto
fp16,32,8,graph_global,global,0.01551118016242981,0.0416759204864502,0.018141560554504395,0.02601193904876709,0.0418231201171875,0.01539355993270874,1.0076408725619828,1.0,1.0076408725619828,0.0
fp16,32,16,graph_global,global,0.02242638111114502,0.07808465957641601,0.02281035900115967,0.02773996114730835,0.04391993999481201,0.022526359558105467,0.9955617130809548,1.0,0.9955617130809548,0.0
fp16,32,32,graph_lds_chunked(chunk=4),chunk2,0.038351120948791506,0.15330291748046876,0.035668740272521975,0.037234339714050296,0.05039830207824707,0.038822319507598874,0.9878626891750985,1.075202562685847,0.9187689124432755,0.0
fp16,128,8,graph_lds,chunk4,0.04044472217559814,0.051431899070739744,0.03909512042999268,0.039082319736480714,0.05222469806671143,0.05177909851074219,0.781101319622384,1.034859815085278,0.7547894973175832,0.0
fp16,128,16,graph_lds,chunk4,0.07164227962493896,0.09894302368164062,0.06823907852172852,0.06514307975769043,0.07062067985534667,0.09912861824035644,0.7227204504276298,1.0997680780740378,0.6571571450712496,0.0
fp16,128,32,graph_lds_chunked(chunk=4),chunk8,0.1390229606628418,0.18463565826416015,0.1270573616027832,0.12296538352966309,0.1196357822418213,0.12177098274230957,1.1416756072096477,1.1620516709777762,0.9824654408431049,0.0
fp16,256,8,graph_lds,chunk4,0.07322065830230713,0.06741908073425293,0.06950625896453858,0.06470548152923584,0.0690918779373169,0.0674318790435791,1.0858463287814792,1.1315990016892754,0.9595681218881462,0.0
fp16,256,16,graph_lds,chunk8,0.13709336280822754,0.13069016456604005,0.12603256225585938,0.1170485782623291,0.11659337997436524,0.12755335807800294,1.0747922663422986,1.1758245865963362,0.914075346437094,0.0
fp16,256,32,graph_lds_chunked(chunk=4),chunk8,0.26455629348754883,0.24136436462402344,0.23648515701293946,0.20844602584838867,0.20523719787597655,0.20582841873168944,1.2853244227290836,1.289027019592318,0.9971276033729648,0.0
bf16,32,8,graph_global,global,0.013067179918289184,0.02906074047088623,0.014327980279922485,0.01876636028289795,0.02811356067657471,0.01239516019821167,1.0542162996953013,1.0,1.0542162996953013,0.0
bf16,32,16,graph_global,chunk2,0.01790477991104126,0.0485414981842041,0.016971980333328248,0.019790359735488892,0.029330360889434814,0.017735979557037353,1.0095173967392699,1.0549611512264867,0.956923764979986,0.0
bf16,32,32,graph_lds_chunked(chunk=4),chunk4,0.028558340072631836,0.09322943687438964,0.026589560508728027,0.024491961002349853,0.03151354074478149,0.024691159725189208,1.156622061923541,1.1660291337999371,0.991932386932958,0.0
bf16,128,8,graph_lds,chunk4,0.029336740970611574,0.03180794000625611,0.027005538940429688,0.024311161041259764,0.03216794013977051,0.03206873893737793,0.9148080636378857,1.2067190423699892,0.7580953241951067,0.0
bf16,128,16,graph_lds,chunk4,0.051158299446105955,0.05828549861907959,0.046596717834472653,0.04063111782073975,0.04091351985931396,0.05650390148162842,0.9053941073916724,1.2590916073687914,0.7190851738609675,0.0
bf16,128,32,graph_lds,chunk8,0.09888303756713868,0.10827099800109863,0.08719823837280273,0.07445908069610596,0.0693790578842163,0.10780701637268067,0.9172226529793527,1.4252577158392707,0.6435486317919993,0.0
bf16,256,8,graph_lds,chunk8,0.051583900451660156,0.04141672134399414,0.047494301795959475,0.04140711784362793,0.040546321868896486,0.04004714012145996,1.2880795056828045,1.2722214512688195,1.0124648538178393,0.0
bf16,256,16,graph_lds,chunk8,0.09981422424316407,0.07896706104278564,0.08787504196166993,0.0737678623199463,0.0687782621383667,0.07172386169433594,1.3916459862206003,1.4512466750375264,0.9589313864816366,0.0
bf16,256,32,graph_lds,chunk8,0.1928780746459961,0.14287735939025878,0.17135169982910156,0.14417336463928224,0.13710455894470214,0.14382335662841797,1.3410761587515712,1.4067954860916687,0.9532843771608355,0.0
