dtype,tasks,tile_tokens,dim,num_transforms,samples,patterns,seeds,lds_fits,policy,best_variant,global_ms,lds_ms,chunk2_ms,chunk4_ms,chunk8_ms,auto_ms,auto_speedup_vs_global,best_speedup_vs_global,auto_vs_best,max_abs_diff_auto
bf16,32,64,32,8,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_global,global,0.009250099956989288,0.0161761999130249,0.009898100048303604,0.011978099867701531,0.016140200197696686,0.009066100046038628,1.0202953761833962,1.0,1.0202953761833962,0.0
bf16,32,64,32,16,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_lds_chunked(chunk=2),chunk2,0.01124814972281456,0.02497830018401146,0.01072010025382042,0.01235020011663437,0.016310200095176697,0.010722099989652633,1.0490621924501349,1.0492578853267678,0.9998134940138459,0.0
bf16,32,64,32,32,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_lds_chunked(chunk=4),chunk4,0.014836149662733078,0.04261244982481003,0.014314150065183641,0.013728149980306626,0.016902200132608416,0.013534200191497803,1.0961970011388749,1.0807100508091698,1.0143303472731742,0.0
bf16,32,64,64,8,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_global,global,0.011280100047588348,0.021128299832344058,0.012166099995374678,0.015220200270414354,0.021142249554395677,0.011120150238275528,1.0143837813235896,1.0,1.0143837813235896,0.0
bf16,32,64,64,16,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_lds_chunked(chunk=2),chunk2,0.014524149894714355,0.034218400716781616,0.013756150007247924,0.015866199880838393,0.02171429991722107,0.01375814974308014,1.0556761022331136,1.0558295661985209,0.9998546508164573,0.0
bf16,32,64,64,32,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_lds_chunked(chunk=4),chunk4,0.02049024999141693,0.06035870015621185,0.019438250362873076,0.018282199651002883,0.02306624948978424,0.01830020025372505,1.119673539487421,1.1207759669276407,0.9990163712706639,0.0
bf16,32,64,128,8,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_global,global,0.015300150215625762,0.030934301018714905,0.01687214970588684,0.021530250459909438,0.03088434934616089,0.015134099870920181,1.0109719339849634,1.0,1.0109719339849634,0.0
bf16,32,64,128,16,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_lds_chunked(chunk=2),chunk2,0.02102629989385605,0.051772549748420715,0.019770199805498122,0.02282630056142807,0.03221434950828552,0.019764250516891478,1.0638551598951838,1.0635350224436582,1.0003010126086773,0.0
bf16,32,64,128,32,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_lds_chunked(chunk=4),chunk4,0.032028301060199736,0.09683105051517486,0.029938299953937528,0.027444300055503842,0.034376400709152224,0.027326300740242004,1.1720686734971537,1.1670292554528674,1.004318159138462,0.0
bf16,32,128,32,8,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_global,global,0.011266149953007698,0.021108200401067735,0.012184100225567818,0.015258149802684784,0.021018199622631073,0.011128100007772446,1.0124055270116938,1.0,1.0124055270116938,0.0
