dtype,tasks,tile_tokens,dim,num_transforms,pattern,seed,lds_fits,policy,best_variant,global_ms,lds_ms,chunk2_ms,chunk4_ms,chunk8_ms,auto_ms,auto_speedup_vs_global,best_speedup_vs_global,auto_vs_best,max_abs_diff_auto
fp16,32,64,32,8,random,0,1,graph_global,chunk2,0.014806200563907624,0.019536200165748595,0.010996100306510926,0.013936200737953186,0.019456300139427184,0.00984409973025322,1.5040685252715096,1.3464955894537167,1.1170244723057143,0.0
fp16,32,64,32,8,random,1,1,graph_global,global,0.009588100016117096,0.01928820013999939,0.010692200064659119,0.013612200319766999,0.019212199747562407,0.009588100016117096,1.0,1.0,1.0,0.0
fp16,32,64,32,8,random,2,1,graph_global,global,0.009824100136756896,0.0192561998963356,0.01061210036277771,0.013648100197315216,0.019352200627326965,0.00958010032773018,1.0254694419348036,1.0,1.0254694419348036,0.0
fp16,32,64,32,8,contiguous,0,1,graph_global,global,0.009756100177764893,0.019248199462890626,0.010624100267887116,0.013552099466323853,0.019200299680233002,0.009520100057125091,1.0247896680942101,1.0,1.0247896680942101,0.0
fp16,32,64,32,8,contiguous,1,1,graph_global,global,0.009588100016117096,0.019240200519561768,0.010660099983215331,0.013572199642658234,0.019160300493240356,0.0095721997320652,1.0016610898745282,1.0,1.0016610898745282,0.0
fp16,32,64,32,8,contiguous,2,1,graph_global,global,0.009720099717378616,0.019248199462890626,0.010600099712610245,0.0135561004281044,0.01907230019569397,0.009560099989175796,1.0167361981970875,1.0,1.0167361981970875,0.0
fp16,32,64,32,8,page-cross,0,1,graph_global,global,0.009668099880218505,0.019220200181007386,0.011392199993133545,0.013316099345684052,0.019300200045108795,0.009508100152015687,1.0168277285309093,1.0,1.0168277285309093,0.0
fp16,32,64,32,8,page-cross,1,1,graph_global,global,0.009752099961042404,0.019400200247764586,0.010752099752426147,0.013692200183868408,0.019348199665546417,0.009660100191831588,1.009523686854574,1.0,1.009523686854574,0.0
fp16,32,64,32,8,page-cross,2,1,graph_global,global,0.00984020009636879,0.019388200342655183,0.010736200213432311,0.01369210034608841,0.019408200681209565,0.00963210016489029,1.0216048346587008,1.0,1.0216048346587008,0.0
fp16,32,64,32,8,tail-negative,0,1,graph_global,global,0.0099481001496315,0.019396300613880157,0.010800100117921829,0.013808199763298034,0.019320200383663177,0.0096280999481678,1.0332360697527443,1.0,1.0332360697527443,0.0
fp16,32,64,32,8,tail-negative,1,1,graph_global,global,0.009996099770069123,0.01928820013999939,0.010716100037097932,0.01366409957408905,0.01929219961166382,0.009648200124502182,1.0360585022157065,1.0,1.0360585022157065,0.0
fp16,32,64,32,8,tail-negative,2,1,graph_global,global,0.009836100041866302,0.019328199326992035,0.010700099915266038,0.01345209926366806,0.019496199488639832,0.009700199961662293,1.0140100287356058,1.0,1.0140100287356058,0.0
fp16,32,64,32,16,random,0,1,graph_lds_chunked(chunk=2),chunk2,0.012248100340366363,0.031588399410247804,0.012000200152397156,0.014308199286460876,0.019800199568271636,0.011968199908733369,1.0233870117283674,1.0206580044350082,1.0026737724894148,0.0
fp16,32,64,32,16,random,1,1,graph_lds_chunked(chunk=2),chunk2,0.01233220025897026,0.031584298610687254,0.012036199867725372,0.014096200466156006,0.02000019997358322,0.012004099786281586,1.0273323679851138,1.024592512129896,1.0026740931861022,0.0
fp16,32,64,32,16,random,2,1,graph_lds_chunked(chunk=2),chunk2,0.012380199879407883,0.03156029880046844,0.011976099759340286,0.014300200343132018,0.019824199378490448,0.01207209974527359,1.0255216690248867,1.0337422139250665,0.992047780588386,0.0
fp16,32,64,32,16,contiguous,0,1,graph_lds_chunked(chunk=2),chunk2,0.012340100109577179,0.031616398692131044,0.012032199651002884,0.014288200438022614,0.019812199473381042,0.012012200057506561,1.0272972520022017,1.0255897065794308,1.0016649400942856,0.0
fp16,32,64,32,16,contiguous,1,1,graph_lds_chunked(chunk=2),chunk2,0.012404099851846696,0.03165229856967926,0.012080200016498566,0.014316199719905854,0.01986420005559921,0.012056100368499755,1.0288650121274865,1.0268124563257035,1.0019989588060978,0.0
