dtype,tasks,dim,num_transforms,mean_neighbors_target,max_neighbors,skew,filter_ratio,transform_active_ratio,early_exit_ratio,pareto_alpha,seed,total_edges,mean_count,p90_count,max_count,chunk_tokens,persistent_blocks,variant,worklist_builder,order,ticket_batch_size,gpu_kernel_ms,cpu_preprocess_ms,h2d_metadata_ms,gpu_preprocess_ms,end_to_end_ms,speedup_vs_static_node,end_to_end_speedup_vs_static_node,max_abs_diff
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,0,1023,31.96875,68.10000000000002,124,32,48,static_chunked,cpu,identity,0,0.01570010036230087,4.041011008666828,0.7283680024556816,0.0,4.78507911148481,1.0,1.0,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,0,1023,31.96875,68.10000000000002,124,32,48,static_chunked,gpu,identity,0,0.015596100687980652,3.5131070035276935,0.5546349857468158,0.09582399798091501,4.179162087943405,1.0066683125738198,1.144985289106023,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,0,1023,31.96875,68.10000000000002,124,32,48,persistent_chunked,cpu,identity,1,0.025092199444770813,4.041011008666828,0.7283680024556816,0.0,4.794471210567281,0.6256964598443264,0.9980410563188346,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,0,1023,31.96875,68.10000000000002,124,32,48,persistent_chunked,gpu,identity,1,0.024984200298786164,3.5131070035276935,0.5546349857468158,0.09582399798091501,4.188550187554211,0.628401156512648,1.1424189510019758,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,0,1023,31.96875,68.10000000000002,124,32,48,static_chunked,cpu,sorted,0,0.015064199268817902,4.011615004856139,0.7134500046959147,0.0,4.740129208820872,1.0422127377722128,1.0094828433326861,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,0,1023,31.96875,68.10000000000002,124,32,48,static_chunked,gpu,sorted,0,0.015028099715709686,3.5946940042776987,0.5498759855981916,0.08030400204006582,4.239902091631666,1.044716275464203,1.1285824549885635,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,0,1023,31.96875,68.10000000000002,124,32,48,persistent_chunked,cpu,sorted,1,0.023820200562477113,4.011615004856139,0.7134500046959147,0.0,4.748885210114532,0.6591086553247806,1.0076215574327192,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,0,1023,31.96875,68.10000000000002,124,32,48,persistent_chunked,gpu,sorted,1,0.024008099734783173,3.5946940042776987,0.5498759855981916,0.08030400204006582,4.2488820916507395,0.6539501474810357,1.1261971992321755,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,1,1024,32.0,41.0,188,32,48,static_chunked,cpu,identity,0,0.015452200174331665,0.9855929965851828,0.5712570127798244,0.0,1.5723022095393389,1.0,1.0,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,1,1024,32.0,41.0,188,32,48,static_chunked,gpu,identity,0,0.015488100051879884,0.4418789903866127,0.4216999950585887,0.08127700129989535,0.9603440867969766,0.9976820993260654,1.6372279802163603,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,1,1024,32.0,41.0,188,32,48,persistent_chunked,cpu,identity,1,0.026596200466156007,0.9855929965851828,0.5712570127798244,0.0,1.5834462098311632,0.5809927697753211,0.9929621857549473,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,1,1024,32.0,41.0,188,32,48,persistent_chunked,gpu,identity,1,0.02663620114326477,0.4418789903866127,0.4216999950585887,0.08127700129989535,0.9714921878883616,0.5801202690736892,1.618440404504847,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,1,1024,32.0,41.0,188,32,48,static_chunked,cpu,sorted,0,0.015352199971675872,1.0113029857166111,0.5581519944826141,0.0,1.5848071801709012,1.0065137376298048,0.9921094687176936,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,1,1024,32.0,41.0,188,32,48,static_chunked,gpu,sorted,0,0.015320099890232086,0.4657949903048575,0.40365499444305897,0.08020400127861649,0.964974085916765,1.008622677727043,1.6293724696716463,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,1,1024,32.0,41.0,188,32,48,persistent_chunked,cpu,sorted,1,0.025536200404167174,1.0113029857166111,0.5581519944826141,0.0,1.5949911806033925,0.6051096063535775,0.985774861115238,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,1,1024,32.0,41.0,188,32,48,persistent_chunked,gpu,sorted,1,0.02552820146083832,0.4657949903048575,0.40365499444305897,0.08020400127861649,0.9751821874873713,0.6052992098967959,1.6123163750462786,0.0
fp16,32,64,8,32,256,0.95,0.6,0.5,0.5,1.3,0,1026,32.0625,71.00000000000003,131,32,48,static_chunked,cpu,identity,0,0.015428100526332856,0.7298610144061968,0.6594070000573993,0.0,1.4046961149899289,1.0,1.0,0.0
fp16,32,64,8,32,256,0.95,0.6,0.5,0.5,1.3,0,1026,32.0625,71.00000000000003,131,32,48,static_chunked,gpu,identity,0,0.015396200120449066,0.2597980055725202,0.5023749981774017,0.07924200326669961,0.8568112071370706,1.0020719661756943,1.6394464769940957,0.0
fp16,32,64,8,32,256,0.95,0.6,0.5,0.5,1.3,0,1026,32.0625,71.00000000000003,131,32,48,persistent_chunked,cpu,identity,1,0.025164198875427247,0.7298610144061968,0.6594070000573993,0.0,1.4144322133390232,0.6130972260515054,0.9931166030741688,0.0
fp16,32,64,8,32,256,0.95,0.6,0.5,0.5,1.3,0,1026,32.0625,71.00000000000003,131,32,48,persistent_chunked,gpu,identity,1,0.025116199254989625,0.2597980055725202,0.5023749981774017,0.07924200326669961,0.8665312062716112,0.6142689174305657,1.621056581486382,0.0
fp16,32,64,8,32,256,0.95,0.6,0.5,0.5,1.3,0,1026,32.0625,71.00000000000003,131,32,48,static_chunked,cpu,sorted,0,0.015312199294567109,0.7449000113410875,0.6498279981315136,0.0,1.4100402087671682,1.0075692086770887,0.9962099706490556,0.0
fp16,32,64,8,32,256,0.95,0.6,0.5,0.5,1.3,0,1026,32.0625,71.00000000000003,131,32,48,static_chunked,gpu,sorted,0,0.015388099849224091,0.2752880100160837,0.4988990112906322,0.07645699952263385,0.8660321206785738,1.002599455260929,1.621990780075557,0.0
fp16,32,64,8,32,256,0.95,0.6,0.5,0.5,1.3,0,1026,32.0625,71.00000000000003,131,32,48,persistent_chunked,cpu,sorted,1,0.02475620061159134,0.7449000113410875,0.6498279981315136,0.0,1.4194842100841925,0.6232014665089245,0.9895820643940897,0.0
fp16,32,64,8,32,256,0.95,0.6,0.5,0.5,1.3,0,1026,32.0625,71.00000000000003,131,32,48,persistent_chunked,gpu,sorted,1,0.024476200342178345,0.2752880100160837,0.4988990112906322,0.07645699952263385,0.8751202211715281,0.6303307012790932,1.6051464484610523,0.0
fp16,32,64,8,32,256,0.95,0.6,0.5,0.5,1.3,1,1027,32.09375,41.900000000000006,199,32,48,static_chunked,cpu,identity,0,0.015480099618434906,0.7824829954188317,0.4661659913836047,0.0,1.2641290864208714,1.0,1.0,0.0
fp16,32,64,8,32,256,0.95,0.6,0.5,0.5,1.3,1,1027,32.09375,41.900000000000006,199,32,48,static_chunked,gpu,identity,0,0.015636099874973296,0.2543580048950389,0.2741670032264665,0.07970299338921905,0.6238641013856977,0.9900230711119926,2.0262891928114586,7.62939453125e-06
fp16,32,64,8,32,256,0.95,0.6,0.5,0.5,1.3,1,1027,32.09375,41.900000000000006,199,32,48,persistent_chunked,cpu,identity,1,0.026468199491500855,0.7824829954188317,0.4661659913836047,0.0,1.2751171862939372,0.5848565416550411,0.9913826744779418,3.814697265625e-06
fp16,32,64,8,32,256,0.95,0.6,0.5,0.5,1.3,1,1027,32.09375,41.900000000000006,199,32,48,persistent_chunked,gpu,identity,1,0.02654019892215729,0.2543580048950389,0.2741670032264665,0.07970299338921905,0.6347682004328817,0.5832699168472029,1.991481434575323,0.0
fp16,32,64,8,32,256,0.95,0.6,0.5,0.5,1.3,1,1027,32.09375,41.900000000000006,199,32,48,static_chunked,cpu,sorted,0,0.015448099374771119,0.7153540063882247,0.4234329971950501,0.0,1.154235102958046,1.0020714680095888,1.0952093582851463,7.62939453125e-06
fp16,32,64,8,32,256,0.95,0.6,0.5,0.5,1.3,1,1027,32.09375,41.900000000000006,199,32,48,static_chunked,gpu,sorted,0,0.015460099279880523,0.26906699349638075,0.2705400111153722,0.09224700625054538,0.6473141101421789,1.0012936746519094,1.9528835639674418,3.814697265625e-06
fp16,32,64,8,32,256,0.95,0.6,0.5,0.5,1.3,1,1027,32.09375,41.900000000000006,199,32,48,persistent_chunked,cpu,sorted,1,0.02560420036315918,0.7153540063882247,0.4234329971950501,0.0,1.164391203946434,0.6045921918619485,1.0856566780446288,3.814697265625e-06
fp16,32,64,8,32,256,0.95,0.6,0.5,0.5,1.3,1,1027,32.09375,41.900000000000006,199,32,48,persistent_chunked,gpu,sorted,1,0.025580200552940368,0.26906699349638075,0.2705400111153722,0.09224700625054538,0.6574342114152387,0.6051594312717582,1.922822184290682,0.0
fp16,128,64,8,32,256,0.8,0.6,0.5,0.5,1.3,0,3548,27.71875,49.79999999999998,256,32,48,static_chunked,cpu,identity,0,0.0169281005859375,1.8392030033282936,0.778675006586127,0.0,2.634806110500358,1.0,1.0,7.62939453125e-06
fp16,128,64,8,32,256,0.8,0.6,0.5,0.5,1.3,0,3548,27.71875,49.79999999999998,256,32,48,static_chunked,gpu,identity,0,0.016936099529266356,0.28657099755946547,0.4698220145655796,0.07924200326669961,0.852571114921011,0.9995276986111807,3.0904238536681685,3.814697265625e-06
fp16,128,64,8,32,256,0.8,0.6,0.5,0.5,1.3,0,3548,27.71875,49.79999999999998,256,32,48,persistent_chunked,cpu,identity,1,0.037152299284935,1.8392030033282936,0.778675006586127,0.0,2.6550303091993555,0.45564072511662096,0.9923826863185241,0.0
fp16,128,64,8,32,256,0.8,0.6,0.5,0.5,1.3,0,3548,27.71875,49.79999999999998,256,32,48,persistent_chunked,gpu,identity,1,0.037132298946380614,0.28657099755946547,0.4698220145655796,0.07924200326669961,0.8727673143381253,0.4558861440381549,3.0189101576271775,7.62939453125e-06
fp16,128,64,8,32,256,0.8,0.6,0.5,0.5,1.3,0,3548,27.71875,49.79999999999998,256,32,48,static_chunked,cpu,sorted,0,0.01636819988489151,2.0113949867663905,0.7699380075791851,0.0,2.7977011942304673,1.0342066143487654,0.9417753818506286,7.62939453125e-06
fp16,128,64,8,32,256,0.8,0.6,0.5,0.5,1.3,0,3548,27.71875,49.79999999999998,256,32,48,static_chunked,gpu,sorted,0,0.01621609926223755,0.3037749993382022,0.4667160101234913,0.08533400250598788,0.8720411112299189,1.0439070649596967,3.0214241927014784,7.62939453125e-06
fp16,128,64,8,32,256,0.8,0.6,0.5,0.5,1.3,0,3548,27.71875,49.79999999999998,256,32,48,persistent_chunked,cpu,sorted,1,0.03689630031585693,2.0113949867663905,0.7699380075791851,0.0,2.8182292946614327,0.45880211406080484,0.9349154504537537,3.814697265625e-06
fp16,128,64,8,32,256,0.8,0.6,0.5,0.5,1.3,0,3548,27.71875,49.79999999999998,256,32,48,persistent_chunked,gpu,sorted,1,0.03689630031585693,0.3037749993382022,0.4667160101234913,0.08533400250598788,0.8927213122835382,0.45880211406080484,2.95143184580264,3.814697265625e-06
fp16,128,64,8,32,256,0.8,0.6,0.5,0.5,1.3,1,3015,23.5546875,32.0,256,32,48,static_chunked,cpu,identity,0,0.017348100244998933,2.0955059881089255,0.7646479934919626,0.0,2.877502081845887,1.0,1.0,1.9073486328125e-06
fp16,128,64,8,32,256,0.8,0.6,0.5,0.5,1.3,1,3015,23.5546875,32.0,256,32,48,static_chunked,gpu,identity,0,0.017336100339889526,0.30463599250651896,0.45466200390364975,0.0820580025902018,0.85869209934026,1.0006921917198295,3.351028947461721,0.0
fp16,128,64,8,32,256,0.8,0.6,0.5,0.5,1.3,1,3015,23.5546875,32.0,256,32,48,persistent_chunked,cpu,identity,1,0.03883630037307739,2.0955059881089255,0.7646479934919626,0.0,2.8989902819739655,0.4466980654270871,0.9925876950117105,1.9073486328125e-06
fp16,128,64,8,32,256,0.8,0.6,0.5,0.5,1.3,1,3015,23.5546875,32.0,256,32,48,persistent_chunked,gpu,identity,1,0.038964301347732544,0.30463599250651896,0.45466200390364975,0.0820580025902018,0.880320300348103,0.44523062508365685,3.268698995931416,1.9073486328125e-06
fp16,128,64,8,32,256,0.8,0.6,0.5,0.5,1.3,1,3015,23.5546875,32.0,256,32,48,static_chunked,cpu,sorted,0,0.01629610061645508,2.1461629949044436,0.7598990050610155,0.0,2.9223581005819144,1.064555297816558,0.9846507453254633,1.9073486328125e-06
fp16,128,64,8,32,256,0.8,0.6,0.5,0.5,1.3,1,3015,23.5546875,32.0,256,32,48,static_chunked,gpu,sorted,0,0.016196100413799285,0.3224199899705127,0.45138598943594843,0.0805750023573637,0.8705770821776241,1.071128222335429,3.3052812217939707,1.9073486328125e-06
