dtype,tasks,dim,num_transforms,mean_neighbors_target,max_neighbors,skew,filter_ratio,transform_active_ratio,early_exit_ratio,pareto_alpha,seed,total_edges,mean_count,p90_count,max_count,chunk_tokens,persistent_blocks,variant,worklist_builder,order,ticket_batch_size,gpu_kernel_ms,cpu_preprocess_ms,h2d_metadata_ms,gpu_preprocess_ms,end_to_end_ms,speedup_vs_static_node,end_to_end_speedup_vs_static_node,max_abs_diff
fp16,32,64,8,32,256,0.8,1.0,1.0,1.0,1.3,0,1023,31.96875,68.10000000000002,124,32,48,static_node,none,identity,0,0.01425333321094513,3.0868860048940405,0.46812901564408094,0.0,3.5692683537490666,1.0,1.0,0.0
fp16,32,64,8,32,256,0.8,1.0,1.0,1.0,1.3,0,1023,31.96875,68.10000000000002,124,32,48,static_node,none,sorted,0,0.013893333574136099,3.1719090038677678,0.45168799988459796,0.0,3.637490337326502,1.0259116816628666,0.9812447656898582,0.0
fp16,32,64,8,32,256,0.8,1.0,1.0,1.0,1.3,0,1023,31.96875,68.10000000000002,124,32,48,static_chunked,cpu,identity,0,0.01565333331624667,4.094380012247711,0.698251009453088,0.0,4.808284355017046,0.9105621737544889,0.7423164044000082,3.0517578125e-05
fp16,32,64,8,32,256,0.8,1.0,1.0,1.0,1.3,0,1023,31.96875,68.10000000000002,124,32,48,static_chunked,gpu,identity,0,0.015386999895175299,3.31014500989113,0.546489012776874,0.09610399138182402,3.9681250139450035,0.9263230849448671,0.8994848552416437,3.0517578125e-05
fp16,32,64,8,32,256,0.8,1.0,1.0,1.0,1.3,0,1023,31.96875,68.10000000000002,124,32,48,persistent_node,none,identity,1,0.02914699912071228,3.0868860048940405,0.46812901564408094,0.0,3.5841620196588337,0.4890154609712979,0.9958445891039309,0.0
fp16,32,64,8,32,256,0.8,1.0,1.0,1.0,1.3,0,1023,31.96875,68.10000000000002,124,32,48,persistent_chunked,cpu,identity,1,0.03490666548411051,4.094380012247711,0.698251009453088,0.0,4.82753768718491,0.40832697747750313,0.73935587561004,3.0517578125e-05
fp16,32,64,8,32,256,0.8,1.0,1.0,1.0,1.3,0,1023,31.96875,68.10000000000002,124,32,48,persistent_chunked,gpu,identity,1,0.034360334277153015,3.31014500989113,0.546489012776874,0.09610399138182402,3.987098348326981,0.4148193989027197,0.8952044925720883,3.0517578125e-05
fp16,32,64,8,32,256,0.8,1.0,1.0,1.0,1.3,0,1023,31.96875,68.10000000000002,124,32,48,static_chunked,cpu,sorted,0,0.014760000010331472,4.141641009482555,0.6725520070176572,0.0,4.828953016510543,0.9656729810954137,0.7391391760378445,3.0517578125e-05
fp16,32,64,8,32,256,0.8,1.0,1.0,1.0,1.3,0,1023,31.96875,68.10000000000002,124,32,48,static_chunked,gpu,sorted,0,0.02043333277106285,3.3951680088648573,0.530047997017391,0.09185700037050992,4.037506339023821,0.6975530311496873,0.8840279256656315,3.0517578125e-05
fp16,32,64,8,32,256,0.8,1.0,1.0,1.0,1.3,0,1023,31.96875,68.10000000000002,124,32,48,persistent_node,none,sorted,1,0.02598699927330017,3.1719090038677678,0.45168799988459796,0.0,3.649584003025666,0.5484793785171432,0.9779932043734261,0.0
fp16,32,64,8,32,256,0.8,1.0,1.0,1.0,1.3,0,1023,31.96875,68.10000000000002,124,32,48,persistent_chunked,cpu,sorted,1,0.034160333375136055,4.141641009482555,0.6725520070176572,0.0,4.848353349875349,0.41724807115962054,0.7361815643739813,3.0517578125e-05
fp16,32,64,8,32,256,0.8,1.0,1.0,1.0,1.3,0,1023,31.96875,68.10000000000002,124,32,48,persistent_chunked,gpu,sorted,1,0.03426666557788849,3.3951680088648573,0.530047997017391,0.09185700037050992,4.051339671830647,0.4159533170377244,0.8810094050041105,3.0517578125e-05
