dtype,tasks,dim,num_transforms,mean_neighbors_target,max_neighbors,skew,filter_ratio,transform_active_ratio,early_exit_ratio,pareto_alpha,seed,total_edges,mean_count,p90_count,max_count,chunk_tokens,capacity_scale,actual_work_size,work_capacity,capacity_actual_ratio,overflowed,persistent_blocks,metadata_builder,variant,worklist_builder,order,ticket_batch_size,gpu_kernel_ms,cpu_preprocess_ms,h2d_metadata_ms,gpu_preprocess_ms,gpu_metadata_ms,metadata_build_event_ms,worklist_build_ms,worklist_build_event_ms,level2_compute_ms,end_to_end_ms,speedup_vs_static_node,end_to_end_speedup_vs_static_node,max_abs_diff
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,0,690,21.5625,36.80000000000001,77,32,exact,132,132,1.0,0,48,gpu,static_chunked,gpu,identity,0,0.017773333936929703,0.0,0.0,0.594894023379311,0.19864202477037907,0.12471099942922592,0.3962519986089319,0.07727999985218048,0.017773333936929703,0.6126673573162407,1.0,1.0,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,0,690,21.5625,36.80000000000001,77,32,1x,132,132,1.0,0,48,gpu,static_chunked_fixed,fixed,identity,0,0.01741333305835724,0.0,0.0,0.276432023383677,0.19864202477037907,0.12471099942922592,0.07778999861329794,0.047040000557899475,0.01741333305835724,0.29384535644203424,1.0206738639504565,2.084999282393286,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,0,690,21.5625,36.80000000000001,77,32,1.25x,132,165,1.25,0,48,gpu,static_chunked_fixed,fixed,identity,0,0.01756000022093455,0.0,0.0,0.26337604504078627,0.19864202477037907,0.12471099942922592,0.0647340202704072,0.03548099845647812,0.01756000022093455,0.28093604526172083,1.012148844721586,2.1808072251657062,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,0,690,21.5625,36.80000000000001,77,32,2x,132,264,2.0,0,48,gpu,static_chunked_fixed,fixed,identity,0,0.01754666616519292,0.0,0.0,0.2642290492076427,0.19864202477037907,0.12471099942922592,0.06558702443726361,0.036240000277757645,0.01754666616519292,0.2817757153728356,1.012917996478808,2.174308586194453,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,0,690,21.5625,36.80000000000001,77,32,max,132,2048,15.515151515151516,0,48,gpu,static_chunked_fixed,fixed,identity,0,0.017466666797796886,0.0,0.0,0.27371602482162416,0.19864202477037907,0.12471099942922592,0.0750740000512451,0.04651999846100807,0.017466666797796886,0.29118269161942106,1.017557278826175,2.1040651623517634,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,0,690,21.5625,36.80000000000001,77,32,exact,132,132,1.0,0,48,gpu,persistent_chunked,gpu,identity,1,0.026827000081539154,0.0,0.0,0.594894023379311,0.19864202477037907,0.12471099942922592,0.3962519986089319,0.07727999985218048,0.026827000081539154,0.6217210234608501,0.662516639315192,0.9854377352494667,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,0,690,21.5625,36.80000000000001,77,32,exact,132,132,1.0,0,48,gpu,static_chunked,gpu,bucket,0,0.017306999613841374,0.0,0.0,0.2878230297937989,0.19864202477037907,0.12471099942922592,0.08918100502341986,0.060610998421907425,0.017306999613841374,0.3051300294076403,1.026944839284296,2.007889418506705,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,0,690,21.5625,36.80000000000001,77,32,1x,132,132,1.0,0,48,gpu,static_chunked_fixed,fixed,bucket,0,0.017533333351214726,0.0,0.0,0.2640580350998789,0.19864202477037907,0.12471099942922592,0.06541601032949984,0.03756000101566315,0.017533333351214726,0.2815913684510936,1.0136882463195938,2.1757320214971285,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,0,690,21.5625,36.80000000000001,77,32,1.25x,132,165,1.25,0,48,gpu,static_chunked_fixed,fixed,bucket,0,0.0173333336909612,0.0,0.0,0.2635170239955187,0.19864202477037907,0.12471099942922592,0.06487499922513962,0.03612000122666359,0.0173333336909612,0.28085035768647987,1.0253846290513606,2.1814725904681818,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,0,690,21.5625,36.80000000000001,77,32,2x,132,264,2.0,0,48,gpu,static_chunked_fixed,fixed,bucket,0,0.017387000223000843,0.0,0.0,0.2624350308906287,0.19864202477037907,0.12471099942922592,0.06379300612024963,0.03548000007867813,0.017387000223000843,0.2798220311136295,1.0222196876386869,2.1894893510634623,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,0,690,21.5625,36.80000000000001,77,32,max,132,2048,15.515151515151516,0,48,gpu,static_chunked_fixed,fixed,bucket,0,0.01730666682124138,0.0,0.0,0.26338701718486845,0.19864202477037907,0.12471099942922592,0.06474499241448939,0.036559998989105225,0.01730666682124138,0.28069368400610983,1.0269645865670425,2.182690214372279,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,0,690,21.5625,36.80000000000001,77,32,exact,132,132,1.0,0,48,gpu,persistent_chunked,gpu,bucket,1,0.026360000173250835,0.0,0.0,0.2878230297937989,0.19864202477037907,0.12471099942922592,0.08918100502341986,0.060610998421907425,0.026360000173250835,0.3141830299670498,0.6742539385475965,1.9500332573038548,0.0
