dtype,tasks,dim,num_transforms,mean_neighbors_target,max_neighbors,skew,pareto_alpha,seed,total_edges,mean_count,p90_count,max_count,chunk_tokens,persistent_blocks,variant,order,ticket_batch_size,gpu_kernel_ms,cpu_preprocess_ms,h2d_metadata_ms,end_to_end_ms,speedup_vs_static_node,end_to_end_speedup_vs_static_node,max_abs_diff
fp16,128,64,8,64,1024,0.95,1.3,0,7513,58.6953125,102.29999999999997,1024,64,48,static_node,identity,0,0.061925250291824344,2.8280099941184744,5.722496003727429,8.612431248137728,1.0,1.0,0.0
fp16,128,64,8,64,1024,0.95,1.3,0,7513,58.6953125,102.29999999999997,1024,64,48,static_node,sorted,0,0.05871130228042602,2.9260339942993596,5.698130000382662,8.682875296962447,1.0547415554853028,0.9918870136428929,0.0
fp16,128,64,8,64,1024,0.95,1.3,0,7513,58.6953125,102.29999999999997,1024,64,48,static_chunked,identity,0,0.03161450028419495,3.6046530003659427,5.957675006357022,9.59394250700716,1.9587610031838036,0.8976946903577375,0.000213623046875
fp16,128,64,8,64,1024,0.95,1.3,0,7513,58.6953125,102.29999999999997,1024,64,48,persistent_node,identity,1,0.09742944836616516,2.8280099941184744,5.722496003727429,8.647935446212069,0.635590689778856,0.9958944885406271,0.0
fp16,128,64,8,64,1024,0.95,1.3,0,7513,58.6953125,102.29999999999997,1024,64,48,persistent_chunked,identity,1,0.12085435390472413,3.6046530003659427,5.957675006357022,9.683182360627688,0.5123956919304975,0.8894215690036276,0.00018310546875
fp16,128,64,8,64,1024,0.95,1.3,0,7513,58.6953125,102.29999999999997,1024,64,48,persistent_node,identity,4,0.21698393821716308,2.8280099941184744,5.722496003727429,8.767489936063066,0.2853909409177004,0.9823143580367809,0.0
fp16,128,64,8,64,1024,0.95,1.3,0,7513,58.6953125,102.29999999999997,1024,64,48,persistent_chunked,identity,4,0.1115007996559143,3.6046530003659427,5.957675006357022,9.673828806378879,0.5553794276177612,0.89028154420706,0.00018310546875
fp16,128,64,8,64,1024,0.95,1.3,0,7513,58.6953125,102.29999999999997,1024,64,48,static_chunked,sorted,0,0.030116599798202515,3.632795996963978,5.953797997790389,9.616710594552568,2.0561833243711765,0.8955693491510789,0.000213623046875
fp16,128,64,8,64,1024,0.95,1.3,0,7513,58.6953125,102.29999999999997,1024,64,48,persistent_node,sorted,1,0.0968654990196228,2.9260339942993596,5.698130000382662,8.721029493701645,0.6392910883500396,0.9875475429085125,0.0
fp16,128,64,8,64,1024,0.95,1.3,0,7513,58.6953125,102.29999999999997,1024,64,48,persistent_chunked,sorted,1,0.12108235359191895,3.632795996963978,5.953797997790389,9.707676348346286,0.5114308440066302,0.8871774190952365,0.00018310546875
fp16,128,64,8,64,1024,0.95,1.3,0,7513,58.6953125,102.29999999999997,1024,64,48,persistent_node,sorted,4,0.20019869804382323,2.9260339942993596,5.698130000382662,8.824362692725845,0.30931894611157257,0.9759833710413084,0.0
fp16,128,64,8,64,1024,0.95,1.3,0,7513,58.6953125,102.29999999999997,1024,64,48,persistent_chunked,sorted,4,0.11067085266113282,3.632795996963978,5.953797997790389,9.6972648474155,0.5595443497795717,0.8881299401070911,0.00018310546875
fp16,128,64,8,64,1024,0.95,1.3,0,7513,58.6953125,102.29999999999997,1024,64,256,static_node,identity,0,0.061729252338409424,0.2759160124696791,0.3717050130944699,0.7093502779025584,1.0,1.0,0.0
fp16,128,64,8,64,1024,0.95,1.3,0,7513,58.6953125,102.29999999999997,1024,64,256,static_node,sorted,0,0.05839539766311645,0.3031670057680458,0.3691500023705885,0.7307124058017507,1.057091051841551,0.9707653411525793,0.0
fp16,128,64,8,64,1024,0.95,1.3,0,7513,58.6953125,102.29999999999997,1024,64,256,static_chunked,identity,0,0.03184860050678253,1.0176140203839168,0.6198089977260679,1.6692716186167673,1.9382092574291754,0.424945988412813,0.000213623046875
fp16,128,64,8,64,1024,0.95,1.3,0,7513,58.6953125,102.29999999999997,1024,64,256,persistent_node,identity,1,0.07204285264015198,0.2759160124696791,0.3717050130944699,0.719663878204301,0.8568407562474223,0.9856688648491335,0.0
fp16,128,64,8,64,1024,0.95,1.3,0,7513,58.6953125,102.29999999999997,1024,64,256,persistent_chunked,identity,1,0.043400099873542784,1.0176140203839168,0.6198089977260679,1.6808231179835276,1.4223297300760431,0.42202553636551676,0.00018310546875
fp16,128,64,8,64,1024,0.95,1.3,0,7513,58.6953125,102.29999999999997,1024,64,256,persistent_node,identity,4,0.20768885612487792,0.2759160124696791,0.3717050130944699,0.855309881689027,0.29721985806158624,0.8293488630129771,0.0
fp16,128,64,8,64,1024,0.95,1.3,0,7513,58.6953125,102.29999999999997,1024,64,256,persistent_chunked,identity,4,0.048141849040985105,1.0176140203839168,0.6198089977260679,1.6855648671509698,1.2822368390100016,0.42083831463664734,0.000213623046875
fp16,128,64,8,64,1024,0.95,1.3,0,7513,58.6953125,102.29999999999997,1024,64,256,static_chunked,sorted,0,0.030518698692321777,0.9779190004337579,0.6032280070940033,1.611665706220083,2.0226698707156845,0.4401348711242555,0.00018310546875
fp16,128,64,8,64,1024,0.95,1.3,0,7513,58.6953125,102.29999999999997,1024,64,256,persistent_node,sorted,1,0.06584709882736206,0.3031670057680458,0.3691500023705885,0.7381641069659963,0.9374635092162708,0.960965551167384,0.0
fp16,128,64,8,64,1024,0.95,1.3,0,7513,58.6953125,102.29999999999997,1024,64,256,persistent_chunked,sorted,1,0.042916101217269895,0.9779190004337579,0.6032280070940033,1.624063108745031,1.4383704620765718,0.4367750699359815,0.00018310546875
fp16,128,64,8,64,1024,0.95,1.3,0,7513,58.6953125,102.29999999999997,1024,64,256,persistent_node,sorted,4,0.20537490844726564,0.3031670057680458,0.3691500023705885,0.8776919165858998,0.30056861768125737,0.8081996250595914,0.0
fp16,128,64,8,64,1024,0.95,1.3,0,7513,58.6953125,102.29999999999997,1024,64,256,persistent_chunked,sorted,4,0.04435405135154724,0.9779190004337579,0.6032280070940033,1.6255010588793084,1.3917387579580387,0.43638869013817533,0.00018310546875
fp16,128,64,8,64,1024,0.95,1.3,1,6920,54.0625,64.0,1024,64,48,static_node,identity,0,0.0669470489025116,0.14744600048288703,0.1578350056661293,0.3722280550515279,1.0,1.0,0.0
fp16,128,64,8,64,1024,0.95,1.3,1,6920,54.0625,64.0,1024,64,48,static_node,sorted,0,0.057971447706222534,0.16568999853916466,0.1549500011606142,0.3786114474060014,1.1548279636170902,0.9831399911486873,0.0
fp16,128,64,8,64,1024,0.95,1.3,1,6920,54.0625,64.0,1024,64,48,static_chunked,identity,0,0.030612650513648986,0.8450610039290041,0.4073220188729465,1.2829956733155996,2.1869079540388876,0.290124170169329,0.000152587890625
fp16,128,64,8,64,1024,0.95,1.3,1,6920,54.0625,64.0,1024,64,48,persistent_node,identity,1,0.13361409902572632,0.14744600048288703,0.1578350056661293,0.4388951051747426,0.5010477890482312,0.8481025435526975,0.0
fp16,128,64,8,64,1024,0.95,1.3,1,6920,54.0625,64.0,1024,64,48,persistent_chunked,identity,1,0.11640684604644776,0.8450610039290041,0.4073220188729465,1.3687898688483984,0.5751126430811373,0.2719395164465192,0.0001220703125
fp16,128,64,8,64,1024,0.95,1.3,1,6920,54.0625,64.0,1024,64,48,persistent_node,identity,4,0.24536304473876952,0.14744600048288703,0.1578350056661293,0.5506440508877859,0.2728489490900639,0.6759867003945588,0.0
fp16,128,64,8,64,1024,0.95,1.3,1,6920,54.0625,64.0,1024,64,48,persistent_chunked,identity,4,0.10870314836502075,0.8450610039290041,0.4073220188729465,1.3610861711669713,0.6158703764283453,0.27347868411034265,0.0001220703125
fp16,128,64,8,64,1024,0.95,1.3,1,6920,54.0625,64.0,1024,64,48,static_chunked,sorted,0,0.028954750299453734,0.8467739971820265,0.39955701504368335,1.2752857625251637,2.3121266186078846,0.2918781546768685,0.000152587890625
