dtype,tasks,dim,num_transforms,mean_neighbors_target,max_neighbors,skew,pareto_alpha,seed,total_edges,mean_count,p90_count,max_count,chunk_tokens,persistent_blocks,variant,order,ticket_batch_size,ms,speedup_vs_static_node,max_abs_diff
fp16,128,64,8,64,1024,0.95,1.3,0,7513,58.6953125,102.29999999999997,1024,64,256,static_node,identity,0,0.0593146026134491,1.0,0.0
fp16,128,64,8,64,1024,0.95,1.3,0,7513,58.6953125,102.29999999999997,1024,64,256,static_node,sorted,0,0.05622054934501648,1.0550342055436868,0.0
fp16,128,64,8,64,1024,0.95,1.3,0,7513,58.6953125,102.29999999999997,1024,64,256,static_chunked,identity,0,0.027956300973892213,2.121689942773249,0.000213623046875
fp16,128,64,8,64,1024,0.95,1.3,0,7513,58.6953125,102.29999999999997,1024,64,256,persistent_node,identity,1,0.0680166482925415,0.8720600632706177,0.0
fp16,128,64,8,64,1024,0.95,1.3,0,7513,58.6953125,102.29999999999997,1024,64,256,persistent_chunked,identity,1,0.03746035099029541,1.5833968728380392,0.000213623046875
fp16,128,64,8,64,1024,0.95,1.3,0,7513,58.6953125,102.29999999999997,1024,64,256,static_chunked,sorted,0,0.02658424973487854,2.231193402295959,0.000213623046875
fp16,128,64,8,64,1024,0.95,1.3,0,7513,58.6953125,102.29999999999997,1024,64,256,persistent_node,sorted,1,0.06197260022163391,0.9571101164275994,0.0
fp16,128,64,8,64,1024,0.95,1.3,0,7513,58.6953125,102.29999999999997,1024,64,256,persistent_chunked,sorted,1,0.03738034963607788,1.5867856558570346,0.00018310546875
fp16,128,64,8,64,1024,0.95,1.3,1,6920,54.0625,64.0,1024,64,256,static_node,identity,0,0.06475664973258972,1.0,0.0
fp16,128,64,8,64,1024,0.95,1.3,1,6920,54.0625,64.0,1024,64,256,static_node,sorted,0,0.05609455108642578,1.1544196090065524,0.0
fp16,128,64,8,64,1024,0.95,1.3,1,6920,54.0625,64.0,1024,64,256,static_chunked,identity,0,0.027440300583839415,2.3599103637635537,0.000152587890625
fp16,128,64,8,64,1024,0.95,1.3,1,6920,54.0625,64.0,1024,64,256,persistent_node,identity,1,0.07257674932479859,0.8922506220661384,0.0
fp16,128,64,8,64,1024,0.95,1.3,1,6920,54.0625,64.0,1024,64,256,persistent_chunked,identity,1,0.0370903491973877,1.745916421222332,0.000152587890625
fp16,128,64,8,64,1024,0.95,1.3,1,6920,54.0625,64.0,1024,64,256,static_chunked,sorted,0,0.02563624978065491,2.5259798249217806,0.0001220703125
fp16,128,64,8,64,1024,0.95,1.3,1,6920,54.0625,64.0,1024,64,256,persistent_node,sorted,1,0.06185060143470764,1.0469849642602076,0.0
fp16,128,64,8,64,1024,0.95,1.3,1,6920,54.0625,64.0,1024,64,256,persistent_chunked,sorted,1,0.03605634868144989,1.7959846767819125,0.00018310546875
