dtype,tasks,dim,num_transforms,mean_neighbors_target,max_neighbors,skew,pareto_alpha,seed,total_edges,mean_count,p90_count,max_count,chunk_tokens,persistent_blocks,variant,order,ticket_batch_size,ms,speedup_vs_static_node,max_abs_diff
fp16,128,64,8,64,1024,0.95,1.3,0,7513,58.6953125,102.29999999999997,1024,64,48,static_node,identity,0,0.05923064947128296,1.0,0.0
fp16,128,64,8,64,1024,0.95,1.3,0,7513,58.6953125,102.29999999999997,1024,64,48,static_node,sorted,0,0.05618849992752075,1.0541418537189349,0.0
fp16,128,64,8,64,1024,0.95,1.3,0,7513,58.6953125,102.29999999999997,1024,64,48,static_chunked,identity,0,0.02800624966621399,2.1149082857294266,0.000213623046875
fp16,128,64,8,64,1024,0.95,1.3,0,7513,58.6953125,102.29999999999997,1024,64,48,persistent_node,identity,1,0.09618685245513917,0.6157873759192577,0.0
fp16,128,64,8,64,1024,0.95,1.3,0,7513,58.6953125,102.29999999999997,1024,64,48,persistent_chunked,identity,1,0.11588104963302612,0.5111331806093877,0.00018310546875
fp16,128,64,8,64,1024,0.95,1.3,0,7513,58.6953125,102.29999999999997,1024,64,48,persistent_node,identity,4,0.21374790668487548,0.2771051674372914,0.0
fp16,128,64,8,64,1024,0.95,1.3,0,7513,58.6953125,102.29999999999997,1024,64,48,persistent_chunked,identity,4,0.10726695060729981,0.5521798572248418,0.00018310546875
fp16,128,64,8,64,1024,0.95,1.3,0,7513,58.6953125,102.29999999999997,1024,64,48,static_chunked,sorted,0,0.02677825093269348,2.211893884337623,0.00018310546875
fp16,128,64,8,64,1024,0.95,1.3,0,7513,58.6953125,102.29999999999997,1024,64,48,persistent_node,sorted,1,0.09580284953117371,0.618255613075576,0.0
fp16,128,64,8,64,1024,0.95,1.3,0,7513,58.6953125,102.29999999999997,1024,64,48,persistent_chunked,sorted,1,0.11608505249023438,0.5102349372350564,0.00018310546875
fp16,128,64,8,64,1024,0.95,1.3,0,7513,58.6953125,102.29999999999997,1024,64,48,persistent_node,sorted,4,0.1974697470664978,0.29994796849229305,0.0
fp16,128,64,8,64,1024,0.95,1.3,0,7513,58.6953125,102.29999999999997,1024,64,48,persistent_chunked,sorted,4,0.10628889799118042,0.5572609236780097,0.00018310546875
fp16,128,64,8,64,1024,0.95,1.3,0,7513,58.6953125,102.29999999999997,1024,64,96,static_node,identity,0,0.059248602390289305,1.0,0.0
fp16,128,64,8,64,1024,0.95,1.3,0,7513,58.6953125,102.29999999999997,1024,64,96,static_node,sorted,0,0.056196552515029904,1.0543102688451063,0.0
fp16,128,64,8,64,1024,0.95,1.3,0,7513,58.6953125,102.29999999999997,1024,64,96,static_chunked,identity,0,0.027924299240112305,2.1217578955457084,0.000213623046875
fp16,128,64,8,64,1024,0.95,1.3,0,7513,58.6953125,102.29999999999997,1024,64,96,persistent_node,identity,1,0.0738407015800476,0.802384066273536,0.0
fp16,128,64,8,64,1024,0.95,1.3,0,7513,58.6953125,102.29999999999997,1024,64,96,persistent_chunked,identity,1,0.06575465202331543,0.9010556754110843,0.00018310546875
fp16,128,64,8,64,1024,0.95,1.3,0,7513,58.6953125,102.29999999999997,1024,64,96,persistent_node,identity,4,0.20782005786895752,0.28509568805744895,0.0
fp16,128,64,8,64,1024,0.95,1.3,0,7513,58.6953125,102.29999999999997,1024,64,96,persistent_chunked,identity,4,0.06501064896583557,0.9113676502664304,0.00018310546875
fp16,128,64,8,64,1024,0.95,1.3,0,7513,58.6953125,102.29999999999997,1024,64,96,static_chunked,sorted,0,0.026712250709533692,2.2180310837357964,0.000213623046875
fp16,128,64,8,64,1024,0.95,1.3,0,7513,58.6953125,102.29999999999997,1024,64,96,persistent_node,sorted,1,0.06112459897994995,0.9693086478935263,0.0
fp16,128,64,8,64,1024,0.95,1.3,0,7513,58.6953125,102.29999999999997,1024,64,96,persistent_chunked,sorted,1,0.0659426510334015,0.898486813341467,0.00018310546875
fp16,128,64,8,64,1024,0.95,1.3,0,7513,58.6953125,102.29999999999997,1024,64,96,persistent_node,sorted,4,0.20139200687408448,0.294195401842999,0.0
fp16,128,64,8,64,1024,0.95,1.3,0,7513,58.6953125,102.29999999999997,1024,64,96,persistent_chunked,sorted,4,0.06258260011672974,0.9467264428096336,0.00018310546875
fp16,128,64,8,64,1024,0.95,1.3,0,7513,58.6953125,102.29999999999997,1024,64,192,static_node,identity,0,0.059416598081588744,1.0,0.0
fp16,128,64,8,64,1024,0.95,1.3,0,7513,58.6953125,102.29999999999997,1024,64,192,static_node,sorted,0,0.056158602237701416,1.058014190419079,0.0
fp16,128,64,8,64,1024,0.95,1.3,0,7513,58.6953125,102.29999999999997,1024,64,192,static_chunked,identity,0,0.027952298521995544,2.125642656357368,0.000213623046875
fp16,128,64,8,64,1024,0.95,1.3,0,7513,58.6953125,102.29999999999997,1024,64,192,persistent_node,identity,1,0.06772069931030274,0.8773772079543389,0.0
