threshold,rows,effective_row_order,first_page_unique,first_page_unique_ratio,first_page_unique_w128_p50,first_page_unique_w128_ratio_p50,adjacent_lcp_mean,baseline_kernel_ms,auto_kernel_ms,kernel_speedup_vs_original,baseline_online_e2e_ms,auto_online_e2e_ms,online_e2e_speedup_vs_original,baseline_scheduler_ms,auto_scheduler_ms,scheduler_delta_ms
0.75,512,original,512,1,128,1,0,4.113200,4.054569,1.014461,4.265744,4.213485,1.012403,0.152544,0.158916,0.006372
0.75,2048,first-page,1280,0.625,128,1,0,14.480985,13.719105,1.055534,14.827452,14.442889,1.026626,0.346467,0.723784,0.377317
0.75,8192,first-page,1280,0.15625,128,1,0,59.140694,39.962032,1.479922,69.162066,51.161556,1.351837,10.021372,11.199524,1.178152
0.75,32768,first-page,2560,0.078125,128,1,0,151.944214,93.746582,1.620797,165.047409,110.220982,1.497423,13.103195,16.474400,3.371205
0.5,512,original,512,1,128,1,0,4.113200,4.109850,1.000815,4.265744,4.269657,0.999084,0.152544,0.159807,0.007263
0.5,2048,original,1280,0.625,128,1,0,14.480985,14.903489,0.971651,14.827452,15.272149,0.970882,0.346467,0.368660,0.022193
0.5,8192,first-page,1280,0.15625,128,1,0,59.140694,39.846424,1.484216,69.162066,51.228139,1.350080,10.021372,11.381715,1.360343
0.5,32768,first-page,2560,0.078125,128,1,0,151.944214,94.058815,1.615417,165.047409,110.786974,1.489773,13.103195,16.728159,3.624964
0.25,512,original,512,1,128,1,0,4.113200,4.055518,1.014223,4.265744,4.205967,1.014212,0.152544,0.150449,-0.002095
0.25,2048,original,1280,0.625,128,1,0,14.480985,14.805665,0.978071,14.827452,15.176700,0.976988,0.346467,0.371035,0.024568
0.25,8192,first-page,1280,0.15625,128,1,0,59.140694,39.888161,1.482663,69.162066,50.462471,1.370564,10.021372,10.574310,0.552938
0.25,32768,first-page,2560,0.078125,128,1,0,151.944214,94.012810,1.616208,165.047409,109.380189,1.508933,13.103195,15.367379,2.264184
