rows,row_order,effective_row_order,event_ms,scheduler_setup_ms,online_e2e_ms,first_page_unique_ratio,first_page_unique_w128_p50,path,kernel_speedup_vs_original,e2e_speedup_vs_original,kernel_delta_ms,e2e_delta_ms
512,auto-first-page,original,4.09128904343,0.143867015839,4.23515605927,1.0,128.0,prof/phase6_same_rows_512_auto_first_page_row_indices.csv,1.0053555600734656,1.0072224234436526,0.021911144250000625,0.030588090409999324
512,first-page,first-page,4.12720394135,0.157333016396,4.28453695774,1.0,128.0,prof/phase6_same_rows_512_first_page_row_indices.csv,0.9966069634869026,0.9956138065220673,-0.014003753669999952,-0.01879280806000061
512,original,original,4.11320018768,0.152543962002,4.26574414968,1.0,128.0,prof/phase6_same_rows_512_original_row_indices.csv,1.0,1.0,0.0,0.0
2048,auto-first-page,original,14.6386222839,0.323512971401,14.9621352553,0.625,128.0,prof/phase6_same_rows_2048_auto_first_page_row_indices.csv,0.989231391244149,0.9909983697713004,-0.15763759610000072,-0.13468360899999965
2048,first-page,first-page,13.7469787598,0.725095033646,14.4720737934,0.625,128.0,prof/phase6_same_rows_2048_first_page_row_indices.csv,1.0533939813849453,1.0245561111678458,0.7340059280000002,0.35537785290000024
2048,original,original,14.4809846878,0.346466958523,14.8274516463,0.625,128.0,prof/phase6_same_rows_2048_original_row_indices.csv,1.0,1.0,0.0,0.0
8192,auto-first-page,first-page,39.9841995239,10.5274069905,50.5116065145,0.15625,128.0,prof/phase6_same_rows_8192_auto_first_page_row_indices.csv,1.4791016043537264,1.3692311620487887,19.156494140699998,18.650459170299996
8192,first-page,first-page,39.8116416931,10.1067270041,49.9183686972,0.15625,128.0,prof/phase6_same_rows_8192_first_page_row_indices.csv,1.4855125573696208,1.3855033225210223,19.3290519715,19.243696987599996
8192,original,original,59.1406936646,10.0213720202,69.1620656848,0.15625,128.0,prof/phase6_same_rows_8192_original_row_indices.csv,1.0,1.0,0.0,0.0
32768,auto-first-page,first-page,93.9018096924,14.6037229896,108.505532682,0.078125,128.0,prof/phase6_same_rows_32768_auto_first_page_row_indices.csv,1.6181180571996763,1.521096710918039,58.04240417460001,56.54187619699999
32768,first-page,first-page,93.6320571899,16.0870790482,109.719136238,0.078125,128.0,prof/phase6_same_rows_32768_first_page_row_indices.csv,1.6227798301903602,1.504271857563509,58.312156677100006,55.328272640999984
32768,original,original,151.944213867,13.1031950116,165.047408879,0.078125,128.0,prof/phase6_same_rows_32768_original_row_indices.csv,1.0,1.0,0.0,0.0
