physical_superblock,row_order,effective_row_order,kernel_ms,scheduler_ms,online_e2e_ms,e2e_speedup_vs_sb_original,unique_pages_w128_p50,page_span_w128_p50,reuse_distance_p50,adjacent_lcp_mean,adjacent_first_page_delta_p50
1,original,original,59.1106719971,10.6516000032,69.7622720003,1.000000,128.0,138.0,1240.0,0.0,1.0
1,first-page,first-page,39.761932373,11.3926399946,51.1545723677,1.363754,10.0,10.0,1.0,1.1553836908525592,0.0
1,auto-first-page,first-page,40.1891403198,11.4699580073,51.6590983272,1.350435,10.0,10.0,1.0,1.1553836908525592,0.0
4,original,original,58.9289169312,11.1376209855,70.0665379167,1.000000,128.0,2712.0,1240.0,0.0,4.0
4,first-page,first-page,39.907989502,11.4113159776,51.3193054795,1.365306,10.0,37.0,1.0,1.1553836908525592,0.0
4,auto-first-page,first-page,39.713432312,11.2511689663,50.9646012783,1.374808,10.0,37.0,1.0,1.1553836908525592,0.0
8,original,original,59.2253494263,11.452854991,70.6782044172,1.000000,128.0,2841.0,1240.0,0.0,4.0
8,first-page,first-page,39.782951355,11.5395820141,51.3225333691,1.377138,10.0,41.0,1.0,1.1553836908525592,0.0
8,auto-first-page,first-page,39.8910713196,11.1616980433,51.0527693629,1.384415,10.0,41.0,1.0,1.1553836908525592,0.0
16,original,original,58.7421684265,11.0701929927,69.8123614192,1.000000,128.0,2973.0,1240.0,0.0,4.0
16,first-page,first-page,39.9367446899,10.3961809874,50.3329256773,1.387012,10.0,41.0,1.0,1.1553836908525592,0.0
16,auto-first-page,first-page,39.7567062378,11.6672570109,51.4239632487,1.357584,10.0,41.0,1.0,1.1553836908525592,0.0
