Dispatch_ID,GPU_ID,Queue_ID,PID,TID,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,Wave_Size,Kernel_Name,Start_Timestamp,End_Timestamp,Correlation_ID,SQ_WAVES,SQ_INSTS_WAVE32,SQ_INSTS_LDS,SQ_INSTS_TEX_LOAD,SQ_INSTS_TEX_STORE,SQ_INSTS_VALU,SQ_INSTS_SALU

0,1,1,157394,157394,98304,256,0,0,56,0,128,32,"distribution_elementwise_grid_stride_kernel",30601772187620,30601772202980,0,3072.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,1,1,157394,157394,4096,256,0,0,56,0,128,32,"distribution_elementwise_grid_stride_kernel",30601786711671,30601786715671,0,128.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,1,1,157394,157394,256,256,0,0,24,0,128,32,"vectorized_elementwise_kernel",30601815340321,30601815343761,0,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,1,1,157394,157394,256,256,0,0,24,0,128,32,"vectorized_elementwise_kernel",30601815458192,30601815461312,0,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,1,1,157394,157394,256,256,0,0,40,0,128,32,"vectorized_elementwise_kernel",30601843587298,30601843589738,0,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,1,1,157394,157394,1024,256,0,0,16,0,128,32,"vectorized_elementwise_kernel",30601893352869,30601893355229,0,32.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,1,1,157394,157394,1024,256,0,0,16,0,128,32,"vectorized_elementwise_kernel",30601893472670,30601893474150,0,32.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,1,1,157394,157394,1024,128,0,0,16,0,128,32,"elementwise_kernel_manual_unroll",30601910474023,30601910480143,0,32.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,1,1,157394,157394,131072,32,0,0,16,0,128,32,"vectorized_gather_kernel",30601912746435,30601912749235,0,4096.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9,1,1,157394,157394,32768,256,0,0,8,0,128,32,"vectorized_elementwise_kernel",30601919685955,30601919687915,0,1024.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10,1,1,157394,157394,32768,128,0,0,48,0,128,32,"elementwise_kernel_manual_unroll",30601919844226,30601919851266,0,1024.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11,1,1,157394,157394,131072,256,0,0,24,0,128,32,"gather_global_kernel",30601920561100,30601920565260,0,4096.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12,1,1,157394,157394,131072,256,0,0,24,0,128,32,"gather_global_kernel",30601920872232,30601920875032,0,4096.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
13,1,1,157394,157394,131072,256,0,0,24,0,128,32,"gather_global_kernel",30601921040793,30601921043593,0,4096.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14,1,1,157394,157394,131072,256,0,0,24,0,128,32,"gather_global_kernel",30601921118153,30601921120834,0,4096.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15,1,1,157394,157394,32768,256,0,0,16,0,128,32,"vectorized_elementwise_kernel",30601921261054,30601921263294,0,1024.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16,1,1,157394,157394,32768,256,0,0,16,0,128,32,"vectorized_elementwise_kernel",30601921338575,30601921341175,0,1024.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
17,1,1,157394,157394,65536,256,0,0,16,0,128,32,"vectorized_elementwise_kernel",30601944290017,30601944292977,0,2048.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
18,1,1,157394,157394,65536,256,0,0,16,0,128,32,"vectorized_elementwise_kernel",30601949495487,30601949498407,0,2048.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
19,1,1,157394,157394,256,256,0,0,16,0,128,32,"__amd_rocclr_fillBufferAligned.kd",30601949605608,30601949609048,0,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20,1,1,157394,157394,32768,512,2560,0,32,0,128,32,"reduce_kernel",30601956607468,30601956615788,0,1024.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
21,1,1,157394,157394,8192,256,16384,0,24,0,128,32,"gather_vgpr_lds_kernel",30601956790899,30601956798859,0,256.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22,1,1,157394,157394,8192,256,16384,0,24,0,128,32,"gather_vgpr_lds_kernel",30601956937340,30601956944780,0,256.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
23,1,1,157394,157394,8192,256,16384,0,24,0,128,32,"gather_vgpr_lds_kernel",30601957029381,30601957035021,0,256.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
24,1,1,157394,157394,8192,256,16384,0,24,0,128,32,"gather_vgpr_lds_kernel",30601957111941,30601957117581,0,256.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
25,1,1,157394,157394,32768,256,0,0,16,0,128,32,"vectorized_elementwise_kernel",30601957258962,30601957261042,0,1024.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
26,1,1,157394,157394,32768,256,0,0,16,0,128,32,"vectorized_elementwise_kernel",30601957337802,30601957339522,0,1024.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
27,1,1,157394,157394,65536,256,0,0,16,0,128,32,"vectorized_elementwise_kernel",30601957414323,30601957416323,0,2048.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
28,1,1,157394,157394,65536,256,0,0,16,0,128,32,"vectorized_elementwise_kernel",30601957491923,30601957493643,0,2048.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
29,1,1,157394,157394,256,256,0,0,16,0,128,32,"__amd_rocclr_fillBufferAligned.kd",30601957567684,30601957570324,0,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
30,1,1,157394,157394,32768,512,2560,0,32,0,128,32,"reduce_kernel",30601957645084,30601957651164,0,1024.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
31,1,1,157394,157394,8192,256,16384,0,24,0,128,32,"gather_direct_lds_kernel",30601957773415,30601957781935,0,256.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
32,1,1,157394,157394,8192,256,16384,0,24,0,128,32,"gather_direct_lds_kernel",30601957896736,30601957904776,0,256.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
33,1,1,157394,157394,8192,256,16384,0,24,0,128,32,"gather_direct_lds_kernel",30601957978656,30601957984816,0,256.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
34,1,1,157394,157394,8192,256,16384,0,24,0,128,32,"gather_direct_lds_kernel",30601958058217,30601958064377,0,256.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
35,1,1,157394,157394,32768,256,0,0,16,0,128,32,"vectorized_elementwise_kernel",30601958175487,30601958177927,0,1024.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
36,1,1,157394,157394,32768,256,0,0,16,0,128,32,"vectorized_elementwise_kernel",30601958253448,30601958255208,0,1024.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
37,1,1,157394,157394,65536,256,0,0,16,0,128,32,"vectorized_elementwise_kernel",30601958331848,30601958333808,0,2048.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
38,1,1,157394,157394,65536,256,0,0,16,0,128,32,"vectorized_elementwise_kernel",30601958582570,30601958584690,0,2048.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
39,1,1,157394,157394,256,256,0,0,16,0,128,32,"__amd_rocclr_fillBufferAligned.kd",30601958660090,30601958662730,0,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
40,1,1,157394,157394,32768,512,2560,0,32,0,128,32,"reduce_kernel",30601958735650,30601958741810,0,1024.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
