Dispatch_ID,GPU_ID,Queue_ID,PID,TID,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,Wave_Size,Kernel_Name,Start_Timestamp,End_Timestamp,Correlation_ID,SQC_LDS_BANK_CONFLICT,SQC_LDS_IDX_ACTIVE

0,1,1,157527,157527,98304,256,0,0,56,0,128,32,"distribution_elementwise_grid_stride_kernel",30603744703341,30603744735821,0,0.000000,0.000000
1,1,1,157527,157527,4096,256,0,0,56,0,128,32,"distribution_elementwise_grid_stride_kernel",30603759191066,30603759202186,0,0.000000,0.000000
2,1,1,157527,157527,256,256,0,0,24,0,128,32,"vectorized_elementwise_kernel",30603787984399,30603787990039,0,0.000000,0.000000
3,1,1,157527,157527,256,256,0,0,24,0,128,32,"vectorized_elementwise_kernel",30603788078449,30603788082089,0,0.000000,0.000000
4,1,1,157527,157527,256,256,0,0,40,0,128,32,"vectorized_elementwise_kernel",30603816615072,30603816618672,0,0.000000,0.000000
5,1,1,157527,157527,1024,256,0,0,16,0,128,32,"vectorized_elementwise_kernel",30603866539896,30603866543216,0,0.000000,0.000000
6,1,1,157527,157527,1024,256,0,0,16,0,128,32,"vectorized_elementwise_kernel",30603866653676,30603866655636,0,0.000000,0.000000
7,1,1,157527,157527,1024,128,0,0,16,0,128,32,"elementwise_kernel_manual_unroll",30603884741672,30603884752352,0,0.000000,0.000000
8,1,1,157527,157527,131072,32,0,0,16,0,128,32,"vectorized_gather_kernel",30603886976075,30603886982795,0,0.000000,0.000000
9,1,1,157527,157527,32768,256,0,0,8,0,128,32,"vectorized_elementwise_kernel",30603893886825,30603893889785,0,0.000000,0.000000
10,1,1,157527,157527,32768,128,0,0,48,0,128,32,"elementwise_kernel_manual_unroll",30603894058446,30603894071886,0,0.000000,0.000000
11,1,1,157527,157527,131072,256,0,0,24,0,128,32,"gather_global_kernel",30603894819041,30603894829001,0,0.000000,0.000000
12,1,1,157527,157527,131072,256,0,0,24,0,128,32,"gather_global_kernel",30603895175263,30603895178823,0,0.000000,0.000000
13,1,1,157527,157527,131072,256,0,0,24,0,128,32,"gather_global_kernel",30603895331264,30603895335064,0,0.000000,0.000000
14,1,1,157527,157527,131072,256,0,0,24,0,128,32,"gather_global_kernel",30603895387064,30603895390144,0,0.000000,0.000000
15,1,1,157527,157527,32768,256,0,0,16,0,128,32,"vectorized_elementwise_kernel",30603895520465,30603895528665,0,0.000000,0.000000
16,1,1,157527,157527,32768,256,0,0,16,0,128,32,"vectorized_elementwise_kernel",30603895595265,30603895603225,0,0.000000,0.000000
17,1,1,157527,157527,65536,256,0,0,16,0,128,32,"vectorized_elementwise_kernel",30603920149919,30603920160039,0,0.000000,0.000000
18,1,1,157527,157527,65536,256,0,0,16,0,128,32,"vectorized_elementwise_kernel",30603925407680,30603925417080,0,0.000000,0.000000
19,1,1,157527,157527,256,256,0,0,16,0,128,32,"__amd_rocclr_fillBufferAligned.kd",30603925513210,30603925520290,0,0.000000,0.000000
20,1,1,157527,157527,32768,512,2560,0,32,0,128,32,"reduce_kernel",30603932585006,30603932601846,0,2081.000000,2081.000000
21,1,1,157527,157527,8192,256,16384,0,24,0,128,32,"gather_vgpr_lds_kernel",30603932766606,30603932780846,0,256.000000,256.000000
22,1,1,157527,157527,8192,256,16384,0,24,0,128,32,"gather_vgpr_lds_kernel",30603932913677,30603932924477,0,256.000000,256.000000
23,1,1,157527,157527,8192,256,16384,0,24,0,128,32,"gather_vgpr_lds_kernel",30603932974718,30603932980678,0,0.000000,0.000000
24,1,1,157527,157527,8192,256,16384,0,24,0,128,32,"gather_vgpr_lds_kernel",30603933037238,30603933042918,0,256.000000,256.000000
25,1,1,157527,157527,32768,256,0,0,16,0,128,32,"vectorized_elementwise_kernel",30603933169339,30603933176499,0,0.000000,0.000000
26,1,1,157527,157527,32768,256,0,0,16,0,128,32,"vectorized_elementwise_kernel",30603933228499,30603933231459,0,0.000000,0.000000
27,1,1,157527,157527,65536,256,0,0,16,0,128,32,"vectorized_elementwise_kernel",30603933285700,30603933288100,0,0.000000,0.000000
28,1,1,157527,157527,65536,256,0,0,16,0,128,32,"vectorized_elementwise_kernel",30603933337460,30603933339580,0,0.000000,0.000000
