Dispatch_ID,GPU_ID,Queue_ID,PID,TID,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,Wave_Size,Kernel_Name,Start_Timestamp,End_Timestamp,Correlation_ID
0,1,1,156218,156218,98304,256,0,0,56,0,128,32,"distribution_elementwise_grid_stride_kernel",30523505767057,30523505785737,0
1,1,1,156218,156218,4096,256,0,0,56,0,128,32,"distribution_elementwise_grid_stride_kernel",30523532867878,30523532873678,0
2,1,1,156218,156218,256,256,0,0,24,0,128,32,"vectorized_elementwise_kernel",30523620104844,30523620114604,0
3,1,1,156218,156218,256,256,0,0,24,0,128,32,"vectorized_elementwise_kernel",30523620264984,30523620274984,0
4,1,1,156218,156218,256,256,0,0,40,0,128,32,"vectorized_elementwise_kernel",30523741356851,30523741359491,0
5,1,1,156218,156218,1024,256,0,0,16,0,128,32,"vectorized_elementwise_kernel",30523787157954,30523787160554,0
6,1,1,156218,156218,1024,256,0,0,16,0,128,32,"vectorized_elementwise_kernel",30523787280145,30523787281865,0
7,1,1,156218,156218,1024,128,0,0,16,0,128,32,"elementwise_kernel_manual_unroll",30523806553358,30523806559558,0
8,1,1,156218,156218,131072,32,0,0,16,0,128,32,"vectorized_gather_kernel",30523809144254,30523809148094,0
9,1,1,156218,156218,32768,256,0,0,8,0,128,32,"vectorized_elementwise_kernel",30523817592178,30523817594418,0
10,1,1,156218,156218,32768,128,0,0,48,0,128,32,"elementwise_kernel_manual_unroll",30523817747039,30523817754839,0
11,1,1,156218,156218,131072,256,0,0,24,0,128,32,"gather_global_kernel",30523818454294,30523818459294,0
12,1,1,156218,156218,131072,256,0,0,24,0,128,32,"gather_global_kernel",30523818478374,30523818481494,0
13,1,1,156218,156218,131072,256,0,0,24,0,128,32,"gather_global_kernel",30523818626385,30523818629145,0
14,1,1,156218,156218,131072,256,0,0,24,0,128,32,"gather_global_kernel",30523818638025,30523818640945,0
15,1,1,156218,156218,131072,256,0,0,24,0,128,32,"gather_global_kernel",30523818649025,30523818651945,0
16,1,1,156218,156218,131072,256,0,0,24,0,128,32,"gather_global_kernel",30523818660225,30523818662905,0
17,1,1,156218,156218,131072,256,0,0,24,0,128,32,"gather_global_kernel",30523818675545,30523818677425,0
18,1,1,156218,156218,32768,256,0,0,16,0,128,32,"vectorized_elementwise_kernel",30523818751016,30523818753856,0
19,1,1,156218,156218,32768,256,0,0,16,0,128,32,"vectorized_elementwise_kernel",30523818803686,30523818807126,0
20,1,1,156218,156218,65536,256,0,0,16,0,128,32,"vectorized_elementwise_kernel",30523845238626,30523845242226,0
21,1,1,156218,156218,65536,256,0,0,16,0,128,32,"vectorized_elementwise_kernel",30523852080720,30523852084200,0
22,1,1,156218,156218,256,256,0,0,16,0,128,32,"__amd_rocclr_fillBufferAligned.kd",30523852198100,30523852201700,0
23,1,1,156218,156218,32768,512,2560,0,32,0,128,32,"reduce_kernel",30523861095797,30523861105038,0
24,1,1,156218,156218,8192,256,16384,0,24,0,128,32,"gather_vgpr_lds_kernel",30523861249048,30523861257529,0
25,1,1,156218,156218,8192,256,16384,0,24,0,128,32,"gather_vgpr_lds_kernel",30523861266929,30523861272569,0
26,1,1,156218,156218,8192,256,16384,0,24,0,128,32,"gather_vgpr_lds_kernel",30523861366229,30523861373389,0
27,1,1,156218,156218,8192,256,16384,0,24,0,128,32,"gather_vgpr_lds_kernel",30523861382469,30523861387989,0
28,1,1,156218,156218,8192,256,16384,0,24,0,128,32,"gather_vgpr_lds_kernel",30523861396229,30523861401669,0
29,1,1,156218,156218,8192,256,16384,0,24,0,128,32,"gather_vgpr_lds_kernel",30523861410230,30523861415710,0
30,1,1,156218,156218,8192,256,16384,0,24,0,128,32,"gather_vgpr_lds_kernel",30523861423870,30523861429590,0
31,1,1,156218,156218,32768,256,0,0,16,0,128,32,"vectorized_elementwise_kernel",30523861508430,30523861511270,0
32,1,1,156218,156218,32768,256,0,0,16,0,128,32,"vectorized_elementwise_kernel",30523861520150,30523861521830,0
33,1,1,156218,156218,65536,256,0,0,16,0,128,32,"vectorized_elementwise_kernel",30523861540150,30523861542310,0
34,1,1,156218,156218,65536,256,0,0,16,0,128,32,"vectorized_elementwise_kernel",30523861561310,30523861563150,0
35,1,1,156218,156218,256,256,0,0,16,0,128,32,"__amd_rocclr_fillBufferAligned.kd",30523861582991,30523861586191,0
36,1,1,156218,156218,32768,512,2560,0,32,0,128,32,"reduce_kernel",30523861595311,30523861601471,0
37,1,1,156218,156218,8192,256,16384,0,24,0,128,32,"gather_direct_lds_kernel",30523861662691,30523861671571,0
38,1,1,156218,156218,8192,256,16384,0,24,0,128,32,"gather_direct_lds_kernel",30523861680491,30523861686651,0
39,1,1,156218,156218,8192,256,16384,0,24,0,128,32,"gather_direct_lds_kernel",30523861739962,30523861747522,0
