"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
16,16,"Agent 2",1,1144694,1144694,4083712,16,"(anonymous namespace)::replay_paged_kv_chunk_softmax_standalone(float*, float*, float*, unsigned int const*, unsigned int const*, unsigned int const*, int const*, int const*, int const*, int const*, int, int, long, long, long, long, long, long, long, long, long, int)",256,0,0,24,0,128,"TA_BUFFER_LOAD_WAVEFRONTS_sum",0.00000000e+00,184869087921068,184869089219748
16,16,"Agent 2",1,1144694,1144694,4083712,16,"(anonymous namespace)::replay_paged_kv_chunk_softmax_standalone(float*, float*, float*, unsigned int const*, unsigned int const*, unsigned int const*, int const*, int const*, int const*, int const*, int, int, long, long, long, long, long, long, long, long, long, int)",256,0,0,24,0,128,"TA_BUFFER_STORE_WAVEFRONTS_sum",0.00000000e+00,184869087921068,184869089219748
16,16,"Agent 2",1,1144694,1144694,4083712,16,"(anonymous namespace)::replay_paged_kv_chunk_softmax_standalone(float*, float*, float*, unsigned int const*, unsigned int const*, unsigned int const*, int const*, int const*, int const*, int const*, int, int, long, long, long, long, long, long, long, long, long, int)",256,0,0,24,0,128,"Wavefronts",127616.000000,184869087921068,184869089219748
17,17,"Agent 2",1,1144694,1144694,6168576,16,"(anonymous namespace)::replay_paged_kv_chunk_softmax_standalone(float*, float*, float*, unsigned int const*, unsigned int const*, unsigned int const*, int const*, int const*, int const*, int const*, int, int, long, long, long, long, long, long, long, long, long, int)",256,0,0,24,0,128,"TA_BUFFER_LOAD_WAVEFRONTS_sum",0.00000000e+00,184869089518029,184869091290230
17,17,"Agent 2",1,1144694,1144694,6168576,16,"(anonymous namespace)::replay_paged_kv_chunk_softmax_standalone(float*, float*, float*, unsigned int const*, unsigned int const*, unsigned int const*, int const*, int const*, int const*, int const*, int, int, long, long, long, long, long, long, long, long, long, int)",256,0,0,24,0,128,"TA_BUFFER_STORE_WAVEFRONTS_sum",0.00000000e+00,184869089518029,184869091290230
17,17,"Agent 2",1,1144694,1144694,6168576,16,"(anonymous namespace)::replay_paged_kv_chunk_softmax_standalone(float*, float*, float*, unsigned int const*, unsigned int const*, unsigned int const*, int const*, int const*, int const*, int const*, int, int, long, long, long, long, long, long, long, long, long, int)",256,0,0,24,0,128,"Wavefronts",192768.000000,184869089518029,184869091290230
18,18,"Agent 2",1,1144694,1144694,10321920,16,"(anonymous namespace)::replay_paged_kv_chunk_softmax_standalone(float*, float*, float*, unsigned int const*, unsigned int const*, unsigned int const*, int const*, int const*, int const*, int const*, int, int, long, long, long, long, long, long, long, long, long, int)",256,0,0,24,0,128,"TA_BUFFER_LOAD_WAVEFRONTS_sum",0.00000000e+00,184869091515190,184869095293512
18,18,"Agent 2",1,1144694,1144694,10321920,16,"(anonymous namespace)::replay_paged_kv_chunk_softmax_standalone(float*, float*, float*, unsigned int const*, unsigned int const*, unsigned int const*, int const*, int const*, int const*, int const*, int, int, long, long, long, long, long, long, long, long, long, int)",256,0,0,24,0,128,"TA_BUFFER_STORE_WAVEFRONTS_sum",0.00000000e+00,184869091515190,184869095293512
18,18,"Agent 2",1,1144694,1144694,10321920,16,"(anonymous namespace)::replay_paged_kv_chunk_softmax_standalone(float*, float*, float*, unsigned int const*, unsigned int const*, unsigned int const*, int const*, int const*, int const*, int const*, int, int, long, long, long, long, long, long, long, long, long, int)",256,0,0,24,0,128,"Wavefronts",322560.000000,184869091515190,184869095293512
19,19,"Agent 2",1,1144694,1144694,18579456,16,"(anonymous namespace)::replay_paged_kv_chunk_softmax_standalone(float*, float*, float*, unsigned int const*, unsigned int const*, unsigned int const*, int const*, int const*, int const*, int const*, int, int, long, long, long, long, long, long, long, long, long, int)",256,0,0,24,0,128,"TA_BUFFER_LOAD_WAVEFRONTS_sum",0.00000000e+00,184869095510099,184869102916614
19,19,"Agent 2",1,1144694,1144694,18579456,16,"(anonymous namespace)::replay_paged_kv_chunk_softmax_standalone(float*, float*, float*, unsigned int const*, unsigned int const*, unsigned int const*, int const*, int const*, int const*, int const*, int, int, long, long, long, long, long, long, long, long, long, int)",256,0,0,24,0,128,"TA_BUFFER_STORE_WAVEFRONTS_sum",0.00000000e+00,184869095510099,184869102916614
19,19,"Agent 2",1,1144694,1144694,18579456,16,"(anonymous namespace)::replay_paged_kv_chunk_softmax_standalone(float*, float*, float*, unsigned int const*, unsigned int const*, unsigned int const*, int const*, int const*, int const*, int const*, int, int, long, long, long, long, long, long, long, long, long, int)",256,0,0,24,0,128,"Wavefronts",580608.000000,184869095510099,184869102916614
20,20,"Agent 2",1,1144694,1144694,33371136,16,"(anonymous namespace)::replay_paged_kv_chunk_softmax_standalone(float*, float*, float*, unsigned int const*, unsigned int const*, unsigned int const*, int const*, int const*, int const*, int const*, int, int, long, long, long, long, long, long, long, long, long, int)",256,0,0,24,0,128,"TA_BUFFER_LOAD_WAVEFRONTS_sum",0.00000000e+00,184869103141852,184869116716842
20,20,"Agent 2",1,1144694,1144694,33371136,16,"(anonymous namespace)::replay_paged_kv_chunk_softmax_standalone(float*, float*, float*, unsigned int const*, unsigned int const*, unsigned int const*, int const*, int const*, int const*, int const*, int, int, long, long, long, long, long, long, long, long, long, int)",256,0,0,24,0,128,"TA_BUFFER_STORE_WAVEFRONTS_sum",0.00000000e+00,184869103141852,184869116716842
20,20,"Agent 2",1,1144694,1144694,33371136,16,"(anonymous namespace)::replay_paged_kv_chunk_softmax_standalone(float*, float*, float*, unsigned int const*, unsigned int const*, unsigned int const*, int const*, int const*, int const*, int const*, int, int, long, long, long, long, long, long, long, long, long, int)",256,0,0,24,0,128,"Wavefronts",1042848.000000,184869103141852,184869116716842
21,21,"Agent 2",1,1144694,1144694,66941952,16,"(anonymous namespace)::replay_paged_kv_chunk_softmax_standalone(float*, float*, float*, unsigned int const*, unsigned int const*, unsigned int const*, int const*, int const*, int const*, int const*, int, int, long, long, long, long, long, long, long, long, long, int)",256,0,0,24,0,128,"TA_BUFFER_LOAD_WAVEFRONTS_sum",0.00000000e+00,184869116926538,184869144400639
21,21,"Agent 2",1,1144694,1144694,66941952,16,"(anonymous namespace)::replay_paged_kv_chunk_softmax_standalone(float*, float*, float*, unsigned int const*, unsigned int const*, unsigned int const*, int const*, int const*, int const*, int const*, int, int, long, long, long, long, long, long, long, long, long, int)",256,0,0,24,0,128,"TA_BUFFER_STORE_WAVEFRONTS_sum",0.00000000e+00,184869116926538,184869144400639
21,21,"Agent 2",1,1144694,1144694,66941952,16,"(anonymous namespace)::replay_paged_kv_chunk_softmax_standalone(float*, float*, float*, unsigned int const*, unsigned int const*, unsigned int const*, int const*, int const*, int const*, int const*, int, int, long, long, long, long, long, long, long, long, long, int)",256,0,0,24,0,128,"Wavefronts",2091936.000000,184869116926538,184869144400639
