trace_index,trace_id,tasks,num_transforms,chunk_tokens,total_edges,max_count,actual_work_size,static_max_capacity,static_capacity_actual_ratio,selected_capacity,class_capacity_actual_ratio,class_overflowed
0,0,0,8,32,0,0,132,132,1.0,192,1.4545454545454546,0
1,0,0,8,32,0,0,132,132,1.0,192,1.4545454545454546,0
2,0,0,8,32,0,0,132,165,1.25,192,1.4545454545454546,0
3,0,0,8,32,0,0,132,264,2.0,192,1.4545454545454546,0
4,0,0,8,32,0,0,132,528,4.0,192,1.4545454545454546,0
5,0,0,8,32,0,0,132,1056,8.0,192,1.4545454545454546,0
6,0,0,8,32,0,0,132,2048,15.515151515151516,192,1.4545454545454546,0
7,0,0,8,32,0,0,132,132,1.0,192,1.4545454545454546,0
8,0,0,8,32,0,0,132,132,1.0,192,1.4545454545454546,0
9,0,0,8,32,0,0,132,132,1.0,192,1.4545454545454546,0
10,0,0,8,32,0,0,132,165,1.25,192,1.4545454545454546,0
11,0,0,8,32,0,0,132,264,2.0,192,1.4545454545454546,0
12,0,0,8,32,0,0,132,528,4.0,192,1.4545454545454546,0
13,0,0,8,32,0,0,132,1056,8.0,192,1.4545454545454546,0
14,0,0,8,32,0,0,132,2048,15.515151515151516,192,1.4545454545454546,0
15,0,0,8,32,0,0,132,132,1.0,192,1.4545454545454546,0
16,1,0,8,32,0,0,149,149,1.0,192,1.2885906040268456,0
17,1,0,8,32,0,0,149,149,1.0,192,1.2885906040268456,0
18,1,0,8,32,0,0,149,187,1.25503355704698,192,1.2885906040268456,0
19,1,0,8,32,0,0,149,298,2.0,192,1.2885906040268456,0
20,1,0,8,32,0,0,149,596,4.0,192,1.2885906040268456,0
21,1,0,8,32,0,0,149,1192,8.0,192,1.2885906040268456,0
22,1,0,8,32,0,0,149,2048,13.74496644295302,192,1.2885906040268456,0
23,1,0,8,32,0,0,149,149,1.0,192,1.2885906040268456,0
24,1,0,8,32,0,0,149,149,1.0,192,1.2885906040268456,0
25,1,0,8,32,0,0,149,149,1.0,192,1.2885906040268456,0
