scope,rows,round,num_classes,classes,actual_min,actual_p50,actual_max,ratio_p50,ratio_p90,ratio_max,overflow_rate
plen1024,1917,1,2,"[66, 68]",66,66.0,68,1.0,1.0,1.0,0.0
plen1024,1917,1,3,"[66, 68]",66,66.0,68,1.0,1.0,1.0,0.0
plen1024,1917,1,4,"[66, 68]",66,66.0,68,1.0,1.0,1.0,0.0
plen1024,1917,1,6,"[66, 68]",66,66.0,68,1.0,1.0,1.0,0.0
plen1024,1917,4,2,[68],66,66.0,68,1.0303030303030303,1.0303030303030303,1.0303030303030303,0.0
plen1024,1917,4,3,[68],66,66.0,68,1.0303030303030303,1.0303030303030303,1.0303030303030303,0.0
plen1024,1917,4,4,[68],66,66.0,68,1.0303030303030303,1.0303030303030303,1.0303030303030303,0.0
plen1024,1917,4,6,[68],66,66.0,68,1.0303030303030303,1.0303030303030303,1.0303030303030303,0.0
plen1024,1917,8,2,[72],66,66.0,68,1.0909090909090908,1.0909090909090908,1.0909090909090908,0.0
plen1024,1917,8,3,[72],66,66.0,68,1.0909090909090908,1.0909090909090908,1.0909090909090908,0.0
plen1024,1917,8,4,[72],66,66.0,68,1.0909090909090908,1.0909090909090908,1.0909090909090908,0.0
plen1024,1917,8,6,[72],66,66.0,68,1.0909090909090908,1.0909090909090908,1.0909090909090908,0.0
plen1024,1917,16,2,[80],66,66.0,68,1.2121212121212122,1.2121212121212122,1.2121212121212122,0.0
plen1024,1917,16,3,[80],66,66.0,68,1.2121212121212122,1.2121212121212122,1.2121212121212122,0.0
plen1024,1917,16,4,[80],66,66.0,68,1.2121212121212122,1.2121212121212122,1.2121212121212122,0.0
plen1024,1917,16,6,[80],66,66.0,68,1.2121212121212122,1.2121212121212122,1.2121212121212122,0.0
plen1024,1917,64,2,[128],66,66.0,68,1.9393939393939394,1.9393939393939394,1.9393939393939394,0.0
plen1024,1917,64,3,[128],66,66.0,68,1.9393939393939394,1.9393939393939394,1.9393939393939394,0.0
plen1024,1917,64,4,[128],66,66.0,68,1.9393939393939394,1.9393939393939394,1.9393939393939394,0.0
plen1024,1917,64,6,[128],66,66.0,68,1.9393939393939394,1.9393939393939394,1.9393939393939394,0.0
plen128,2008,1,2,"[10, 12]",10,10.0,12,1.0,1.0,1.0,0.0
plen128,2008,1,3,"[10, 12]",10,10.0,12,1.0,1.0,1.0,0.0
plen128,2008,1,4,"[10, 12]",10,10.0,12,1.0,1.0,1.0,0.0
plen128,2008,1,6,"[10, 12]",10,10.0,12,1.0,1.0,1.0,0.0
plen128,2008,4,2,[12],10,10.0,12,1.2,1.2,1.2,0.0
plen128,2008,4,3,[12],10,10.0,12,1.2,1.2,1.2,0.0
plen128,2008,4,4,[12],10,10.0,12,1.2,1.2,1.2,0.0
plen128,2008,4,6,[12],10,10.0,12,1.2,1.2,1.2,0.0
plen128,2008,8,2,[16],10,10.0,12,1.6,1.6,1.6,0.0
plen128,2008,8,3,[16],10,10.0,12,1.6,1.6,1.6,0.0
plen128,2008,8,4,[16],10,10.0,12,1.6,1.6,1.6,0.0
plen128,2008,8,6,[16],10,10.0,12,1.6,1.6,1.6,0.0
plen128,2008,16,2,[16],10,10.0,12,1.6,1.6,1.6,0.0
plen128,2008,16,3,[16],10,10.0,12,1.6,1.6,1.6,0.0
plen128,2008,16,4,[16],10,10.0,12,1.6,1.6,1.6,0.0
plen128,2008,16,6,[16],10,10.0,12,1.6,1.6,1.6,0.0
plen128,2008,64,2,[64],10,10.0,12,6.4,6.4,6.4,0.0
plen128,2008,64,3,[64],10,10.0,12,6.4,6.4,6.4,0.0
plen128,2008,64,4,[64],10,10.0,12,6.4,6.4,6.4,0.0
plen128,2008,64,6,[64],10,10.0,12,6.4,6.4,6.4,0.0
