trace_index,trace_id,tasks,num_transforms,chunk_tokens,total_edges,max_count,actual_work_size,static_max_capacity,static_capacity_actual_ratio,selected_capacity,class_capacity_actual_ratio,class_overflowed
0,dolly_plen64_gen64_gpu1_sample_None_call_00000000_builder_0,1,2,32,65,65,6,6,1.0,8,1.3333333333333333,0
1,dolly_plen64_gen64_gpu1_sample_None_call_00000001_builder_0,1,2,32,66,66,6,6,1.0,8,1.3333333333333333,0
2,dolly_plen64_gen64_gpu1_sample_None_call_00000002_builder_0,1,2,32,67,67,6,6,1.0,8,1.3333333333333333,0
3,dolly_plen64_gen64_gpu1_sample_None_call_00000003_builder_0,1,2,32,68,68,6,6,1.0,8,1.3333333333333333,0
4,dolly_plen64_gen64_gpu1_sample_None_call_00000004_builder_0,1,2,32,69,69,6,6,1.0,8,1.3333333333333333,0
5,dolly_plen64_gen64_gpu1_sample_None_call_00000005_builder_0,1,2,32,70,70,6,6,1.0,8,1.3333333333333333,0
6,dolly_plen64_gen64_gpu1_sample_None_call_00000006_builder_0,1,2,32,71,71,6,6,1.0,8,1.3333333333333333,0
7,dolly_plen64_gen64_gpu1_sample_None_call_00000007_builder_0,1,2,32,72,72,6,6,1.0,8,1.3333333333333333,0
8,dolly_plen64_gen64_gpu1_sample_None_call_00000008_builder_0,1,2,32,73,73,6,6,1.0,8,1.3333333333333333,0
9,dolly_plen64_gen64_gpu1_sample_None_call_00000009_builder_0,1,2,32,74,74,6,6,1.0,8,1.3333333333333333,0
10,dolly_plen64_gen64_gpu1_sample_None_call_00000010_builder_0,1,2,32,75,75,6,6,1.0,8,1.3333333333333333,0
11,dolly_plen64_gen64_gpu1_sample_None_call_00000011_builder_0,1,2,32,76,76,6,6,1.0,8,1.3333333333333333,0
12,dolly_plen64_gen64_gpu1_sample_None_call_00000012_builder_0,1,2,32,77,77,6,6,1.0,8,1.3333333333333333,0
13,dolly_plen64_gen64_gpu1_sample_None_call_00000013_builder_0,1,2,32,78,78,6,6,1.0,8,1.3333333333333333,0
14,dolly_plen64_gen64_gpu1_sample_None_call_00000014_builder_0,1,2,32,79,79,6,6,1.0,8,1.3333333333333333,0
15,dolly_plen64_gen64_gpu1_sample_None_call_00000015_builder_0,1,2,32,80,80,6,6,1.0,8,1.3333333333333333,0
16,dolly_plen64_gen64_gpu1_sample_None_call_00000016_builder_0,1,2,32,81,81,6,6,1.0,8,1.3333333333333333,0
17,dolly_plen64_gen64_gpu1_sample_None_call_00000017_builder_0,1,2,32,82,82,6,6,1.0,8,1.3333333333333333,0
18,dolly_plen64_gen64_gpu1_sample_None_call_00000018_builder_0,1,2,32,83,83,6,6,1.0,8,1.3333333333333333,0
19,dolly_plen64_gen64_gpu1_sample_None_call_00000019_builder_0,1,2,32,84,84,6,6,1.0,8,1.3333333333333333,0
20,dolly_plen64_gen64_gpu1_sample_None_call_00000020_builder_0,1,2,32,85,85,6,6,1.0,8,1.3333333333333333,0
21,dolly_plen64_gen64_gpu1_sample_None_call_00000021_builder_0,1,2,32,86,86,6,6,1.0,8,1.3333333333333333,0
22,dolly_plen64_gen64_gpu1_sample_None_call_00000022_builder_0,1,2,32,87,87,6,6,1.0,8,1.3333333333333333,0
23,dolly_plen64_gen64_gpu1_sample_None_call_00000023_builder_0,1,2,32,88,88,6,6,1.0,8,1.3333333333333333,0
24,dolly_plen64_gen64_gpu1_sample_None_call_00000024_builder_0,1,2,32,89,89,6,6,1.0,8,1.3333333333333333,0
25,dolly_plen64_gen64_gpu1_sample_None_call_00000025_builder_0,1,2,32,90,90,6,6,1.0,8,1.3333333333333333,0
26,dolly_plen64_gen64_gpu1_sample_None_call_00000026_builder_0,1,2,32,91,91,6,6,1.0,8,1.3333333333333333,0
27,dolly_plen64_gen64_gpu1_sample_None_call_00000027_builder_0,1,2,32,92,92,6,6,1.0,8,1.3333333333333333,0
28,dolly_plen64_gen64_gpu1_sample_None_call_00000028_builder_0,1,2,32,93,93,6,6,1.0,8,1.3333333333333333,0
29,dolly_plen64_gen64_gpu1_sample_None_call_00000029_builder_0,1,2,32,94,94,6,6,1.0,8,1.3333333333333333,0
30,dolly_plen64_gen64_gpu1_sample_None_call_00000030_builder_0,1,2,32,95,95,6,6,1.0,8,1.3333333333333333,0
31,dolly_plen64_gen64_gpu1_sample_None_call_00000031_builder_0,1,2,32,96,96,6,6,1.0,8,1.3333333333333333,0
32,dolly_plen64_gen64_gpu1_sample_None_call_00000032_builder_0,1,2,32,97,97,8,8,1.0,8,1.0,0
33,dolly_plen64_gen64_gpu1_sample_None_call_00000033_builder_0,1,2,32,98,98,8,8,1.0,8,1.0,0
34,dolly_plen64_gen64_gpu1_sample_None_call_00000034_builder_0,1,2,32,99,99,8,8,1.0,8,1.0,0
35,dolly_plen64_gen64_gpu1_sample_None_call_00000035_builder_0,1,2,32,100,100,8,8,1.0,8,1.0,0
36,dolly_plen64_gen64_gpu1_sample_None_call_00000036_builder_0,1,2,32,101,101,8,8,1.0,8,1.0,0
