mode,launch_mode,strategy,classes,traces,actual_min,actual_p50,actual_p90,actual_max,total_actual_blocks,total_capacity_blocks,empty_blocks,empty_block_fraction,capacity_actual_ratio_p50,capacity_actual_ratio_p90,capacity_actual_ratio_p99,capacity_actual_ratio_max,overflow,launch_count,metadata_setup_ms,event_ms,wall_ms,per_trace_event_us,per_trace_wall_us
paged_kv_full,fused,round64_class,64 192,11932,6,20.0,130.0,132,532586,1262592,730006,0.5781804415044607,3.2,8.0,10.666666666666666,10.666666666666666,0,3,57.265765994088724,61.59858703613281,61.70043799405297,5.1624695806346645,5.171005530845874
paged_kv_full_producer,fused,round64_class,64 192,11932,6,20.0,130.0,132,532586,1262592,730006,0.5781804415044607,3.2,8.0,10.666666666666666,10.666666666666666,0,2,57.265765994088724,62.137596130371094,62.279317333983876,5.207642987795096,5.219520393394559
paged_kv_full_reduce,fused,round64_class,64 192,11932,6,20.0,130.0,132,532586,1262592,730006,0.5781804415044607,3.2,8.0,10.666666666666666,10.666666666666666,0,1,57.265765994088724,0.5063650012016296,0.5855286726728082,0.04243756295689152,0.04907213146771775
paged_kv_full_reduce_ml,fused,round64_class,64 192,11932,6,20.0,130.0,132,532586,1262592,730006,0.5781804415044607,3.2,8.0,10.666666666666666,10.666666666666666,0,1,57.265765994088724,0.19676199555397034,0.2952106685067217,0.016490277870765197,0.024741088543976004
paged_kv_full,fused,capacity_class,8 12 20 36 68 132,11932,6,20.0,130.0,132,532586,544792,12206,0.022404881128944624,1.0153846153846153,1.2,1.3333333333333333,1.3333333333333333,0,7,57.265765994088724,58.338157653808594,58.39249499452611,4.889218710510274,4.89377262776786
paged_kv_full_producer,fused,capacity_class,8 12 20 36 68 132,11932,6,20.0,130.0,132,532586,544792,12206,0.022404881128944624,1.0153846153846153,1.2,1.3333333333333333,1.3333333333333333,0,6,57.265765994088724,57.90843200683594,58.12218899761016,4.853204157461946,4.87111875608533
paged_kv_full_reduce,fused,capacity_class,8 12 20 36 68 132,11932,6,20.0,130.0,132,532586,544792,12206,0.022404881128944624,1.0153846153846153,1.2,1.3333333333333333,1.3333333333333333,0,1,57.265765994088724,0.4744049906730652,0.5457719962578267,0.039759050508972944,0.045740194121507434
paged_kv_full_reduce_ml,fused,capacity_class,8 12 20 36 68 132,11932,6,20.0,130.0,132,532586,544792,12206,0.022404881128944624,1.0153846153846153,1.2,1.3333333333333333,1.3333333333333333,0,1,57.265765994088724,0.1881610006093979,0.22092466436636946,0.01576944356431427,0.01851530878028574
paged_kv_full,fused,single_max,132,11932,6,20.0,130.0,132,532586,1575024,1042438,0.6618553114111277,6.6,16.5,22.0,22.0,0,2,57.265765994088724,62.4150390625,62.40807100160358,5.230894993504861,5.230311012538014
paged_kv_full_producer,fused,single_max,132,11932,6,20.0,130.0,132,532586,1575024,1042438,0.6618553114111277,6.6,16.5,22.0,22.0,0,1,57.265765994088724,61.767032623291016,61.74295967017921,5.176586709964048,5.174569197970098
paged_kv_full_reduce,fused,single_max,132,11932,6,20.0,130.0,132,532586,1575024,1042438,0.6618553114111277,6.6,16.5,22.0,22.0,0,1,57.265765994088724,0.3491230010986328,0.3970030035513143,0.029259386615708417,0.033272125674766534
paged_kv_full_reduce_ml,fused,single_max,132,11932,6,20.0,130.0,132,532586,1575024,1042438,0.6618553114111277,6.6,16.5,22.0,22.0,0,1,57.265765994088724,0.2019219994544983,0.29511699297775823,0.016922728750796034,0.024733237762131932
