mode,launch_mode,strategy,classes,traces,actual_min,actual_p50,actual_p90,actual_max,total_actual_blocks,total_capacity_blocks,empty_blocks,empty_block_fraction,capacity_actual_ratio_p50,capacity_actual_ratio_p90,capacity_actual_ratio_p99,capacity_actual_ratio_max,overflow,launch_count,metadata_setup_ms,event_ms,wall_ms,per_trace_event_us,per_trace_wall_us
paged_kv_full,fused,single_max,132,11932,6,20.0,130.0,132,532586,1575024,1042438,0.6618553114111277,6.6,16.5,22.0,22.0,0,2,57.79720700229518,62.63716506958008,62.843967675386615,5.249510984711706,5.266842748523853
paged_kv_full_producer,fused,single_max,132,11932,6,20.0,130.0,132,532586,1575024,1042438,0.6618553114111277,6.6,16.5,22.0,22.0,0,1,57.79720700229518,63.06452941894531,63.00265267297315,5.285327641547545,5.28014185995417
paged_kv_full_reduce,fused,single_max,132,11932,6,20.0,130.0,132,532586,1575024,1042438,0.6618553114111277,6.6,16.5,22.0,22.0,0,1,57.79720700229518,0.5279250144958496,0.5763639928773046,0.044244469870587465,0.048304055722201186
paged_kv_full_reduce_ml,fused,single_max,132,11932,6,20.0,130.0,132,532586,1575024,1042438,0.6618553114111277,6.6,16.5,22.0,22.0,0,1,57.79720700229518,0.1928820013999939,0.2917003391000132,0.016165102363392046,0.024446893990949816
paged_kv_full,fused,capacity_class,8 12 20 36 68 132,11932,6,20.0,130.0,132,532586,544792,12206,0.022404881128944624,1.0153846153846153,1.2,1.3333333333333333,1.3333333333333333,0,7,57.79720700229518,58.72844696044922,58.86301833864612,4.92192817301787,4.933206364284791
paged_kv_full_producer,fused,capacity_class,8 12 20 36 68 132,11932,6,20.0,130.0,132,532586,544792,12206,0.022404881128944624,1.0153846153846153,1.2,1.3333333333333333,1.3333333333333333,0,6,57.79720700229518,58.64400100708008,58.71090933214873,4.914850905722433,4.920458375138177
paged_kv_full_reduce,fused,capacity_class,8 12 20 36 68 132,11932,6,20.0,130.0,132,532586,544792,12206,0.022404881128944624,1.0153846153846153,1.2,1.3333333333333333,1.3333333333333333,0,1,57.79720700229518,0.5503659844398499,0.5990879920621713,0.046125208216547926,0.05020851425261241
paged_kv_full_reduce_ml,fused,capacity_class,8 12 20 36 68 132,11932,6,20.0,130.0,132,532586,544792,12206,0.022404881128944624,1.0153846153846153,1.2,1.3333333333333333,1.3333333333333333,0,1,57.79720700229518,0.18808099627494812,0.22229733682858446,0.015762738541313118,0.01863035005268056
paged_kv_full,fused,round64_class,64 192,11932,6,20.0,130.0,132,532586,1262592,730006,0.5781804415044607,3.2,8.0,10.666666666666666,10.666666666666666,0,3,57.79720700229518,63.3306884765625,63.22808899373437,5.307633965518145,5.299035282746762
paged_kv_full_producer,fused,round64_class,64 192,11932,6,20.0,130.0,132,532586,1262592,730006,0.5781804415044607,3.2,8.0,10.666666666666666,10.666666666666666,0,2,57.79720700229518,62.392478942871094,62.45489334105514,5.22900426943271,5.234235110715315
paged_kv_full_reduce,fused,round64_class,64 192,11932,6,20.0,130.0,132,532586,1262592,730006,0.5781804415044607,3.2,8.0,10.666666666666666,10.666666666666666,0,1,57.79720700229518,0.5506449937820435,0.5869746673852205,0.04614859150033888,0.049193317749348014
paged_kv_full_reduce_ml,fused,round64_class,64 192,11932,6,20.0,130.0,132,532586,1262592,730006,0.5781804415044607,3.2,8.0,10.666666666666666,10.666666666666666,0,1,57.79720700229518,0.19168199598789215,0.29437899744759005,0.016064532013735512,0.02467138765065287
